nodo,timestamp,cpu_usr,cpu_sys,cpu_wai,memory_available_mb,page_life_expectancy,disk_read_per_sec,disk_write_per_sec,total_reads,total_writes,active_sessions,active_requests,transactions_per_sec,duration_avg_ms,cpu_time_sum_ms,api_latency_ms,api_status,load1
REPLAY-MIX,2026-09-23 11:30:39,12.6,15.6,0.0,2217.0,1855.0,50730.0,50730.0,0.0,50.0,18.0,14.0,748.79,0.0,0.0,0.0,0.0,0.0
REPLAY-MIX,2026-09-23 11:30:45,7.7,17.7,0.0,2227.0,1860.0,2462999.0,647541.0,0.0,13.0,27.0,22.0,252.69,0.0,0.0,0.0,0.0,0.0
REPLAY-MIX,2026-09-23 11:30:50,8.5,41.6,0.0,2187.0,1865.0,3988.0,1736066.0,0.0,48.2,28.0,16.0,849.11,0.0,0.0,4456.0,0.0,0.0
REPLAY-MIX,2026-09-23 11:30:55,5.6,40.1,0.0,2214.0,1870.0,436985.0,1218290.0,0.0,44.6,28.0,20.0,746.85,0.0,0.0,4456.0,0.0,0.0
REPLAY-MIX,2026-09-23 11:31:01,8.5,43.1,0.0,2158.0,1876.0,128202.0,1325197.0,0.0,36.66666666666666,27.0,17.0,773.71,0.0,0.0,4043.0,0.0,0.0
REPLAY-MIX,2026-09-23 11:31:06,7.7,40.7,0.0,2163.0,1881.0,664505.0,1280071.0,0.0,48.0,27.0,18.0,741.01,0.0,0.0,4043.0,0.0,0.0
REPLAY-MIX,2026-09-23 11:31:11,6.2,42.5,0.0,2157.0,1886.0,9463.0,1296184.0,0.0,54.6,28.0,21.0,748.79,0.0,0.0,4043.0,0.0,0.0
REPLAY-MIX,2026-09-23 11:31:16,6.5,41.8,0.0,2171.0,1892.0,15092.0,1553476.0,0.0,54.0,27.0,17.0,794.32,0.0,0.0,4029.0,0.0,0.08
REPLAY-MIX,2026-09-23 11:31:22,5.0,41.3,0.0,2166.0,1897.0,687760.0,2253233.0,0.0,45.66666666666666,27.0,19.0,816.57,0.0,0.0,4029.0,0.0,0.07
REPLAY-MIX,2026-09-23 11:31:27,4.5,40.9,0.0,2173.0,1903.0,72891.0,1293265.0,0.0,58.0,27.0,18.0,823.76,0.0,0.0,4035.0,0.0,0.15
REPLAY-MIX,2026-09-23 11:31:32,5.8,42.6,0.0,2259.0,1908.0,286895.0,2519342.0,0.0,50.0,27.0,19.0,802.11,0.0,0.0,4035.0,0.0,0.14
REPLAY-MIX,2026-09-23 11:31:38,6.1,41.0,0.0,2262.0,1913.0,46549.0,1372567.0,0.0,37.0,27.0,18.0,770.99,0.0,0.0,4035.0,0.0,0.12
REPLAY-MIX,2026-09-23 11:31:43,7.8,42.7,0.0,2305.0,1918.0,311507.0,1222496.0,0.0,47.4,27.0,20.0,765.83,0.0,0.0,4057.0,0.0,0.11
REPLAY-MIX,2026-09-23 11:31:48,5.7,41.4,0.0,2299.0,1924.0,67688.0,5780979.0,0.0,53.2,27.0,22.0,847.9,0.0,0.0,4057.0,0.0,0.11
REPLAY-MIX,2026-09-23 11:31:53,8.6,44.0,0.0,2180.0,1929.0,550581.0,1346942.0,0.0,53.2,27.0,21.0,743.02,0.0,0.0,4081.0,0.0,0.1
REPLAY-MIX,2026-09-23 11:31:59,14.9,50.7,0.0,1827.0,1934.0,745412.0,3007421.0,0.0,42.16666666666666,26.0,20.0,724.51,0.0,0.0,4081.0,0.0,0.17
REPLAY-MIX,2026-09-23 11:32:04,8.9,44.8,0.0,1963.0,1939.0,599902.0,1444567.0,0.0,62.88,25.0,16.0,773.93,0.0,0.0,4081.0,0.0,0.16
REPLAY-MIX,2026-09-23 11:32:09,7.3,43.0,0.0,2045.0,1945.0,219828.0,1793683.0,0.0,62.4,25.0,20.0,791.93,0.0,0.0,4055.0,0.0,0.14
REPLAY-MIX,2026-09-23 11:32:15,7.4,42.2,0.0,2157.0,1950.0,400554.0,1734054.0,0.0,53.16666666666666,25.0,20.0,778.85,0.0,0.0,4055.0,0.0,0.13
REPLAY-MIX,2026-09-23 11:32:20,7.7,42.3,0.0,2159.0,1955.0,48250.0,1576763.0,0.0,56.8,25.0,18.0,801.0,0.0,0.0,4061.0,0.0,0.19
REPLAY-MIX,2026-09-23 11:32:25,9.0,44.4,0.0,2231.0,1960.0,378050.0,1443018.0,0.0,52.6,25.0,20.0,748.34,0.0,0.0,4061.0,0.0,0.18
REPLAY-MIX,2026-09-23 11:32:30,5.6,42.5,0.0,2262.0,1966.0,236245.0,1364984.0,0.0,55.4,25.0,20.0,811.35,0.0,0.0,4061.0,0.0,0.16
REPLAY-MIX,2026-09-23 11:32:36,5.4,43.0,0.0,2283.0,1971.0,401928.0,1307388.0,0.0,46.333333333333336,25.0,16.0,806.46,0.0,0.0,4062.0,0.0,0.15
REPLAY-MIX,2026-09-23 11:32:41,7.8,43.1,0.0,2287.0,1976.0,875.0,1252141.0,0.0,48.8,25.0,19.0,784.11,0.0,0.0,4062.0,0.0,0.14
REPLAY-MIX,2026-09-23 11:32:46,6.0,41.8,0.0,2286.0,1981.0,324066.0,1576442.0,0.0,51.4,21.0,17.0,789.62,0.0,0.0,4048.0,0.0,0.13
REPLAY-MIX,2026-09-23 11:32:52,6.7,42.7,0.0,2284.0,1986.0,4769325.294999999,1534829.0,0.0,39.16666666666666,21.0,19.0,756.68,0.0,0.0,4048.0,0.0,0.44
REPLAY-MIX,2026-09-23 11:32:57,6.7,42.1,0.0,2272.0,1992.0,197359.0,1740741.0,0.0,50.6,22.0,14.0,783.21,0.0,0.0,4048.0,0.0,0.4
REPLAY-MIX,2026-09-23 11:33:02,6.6,42.2,0.0,2200.0,1997.0,197947.0,1307443.0,0.0,45.8,21.0,13.0,772.66,0.0,0.0,4048.0,0.0,0.37
REPLAY-MIX,2026-09-23 11:33:07,6.5,41.4,0.0,2248.0,2002.0,343682.0,1338904.0,0.0,47.6,20.0,16.0,827.01,0.0,0.0,4048.0,0.0,0.34
REPLAY-MIX,2026-09-23 11:33:13,8.2,44.2,0.0,2236.0,2008.0,16404.0,1211686.0,0.0,38.5,20.0,14.0,765.92,0.0,0.0,4083.0,0.0,0.31
REPLAY-MIX,2026-09-11 08:50:13,8.9,18.2,0.0,1500.0,386.0,613691.0,0.0,0.0,17.6,31.0,16.0,138.03,0.0,0.0,460.0,403.0,0.0
REPLAY-MIX,2026-09-11 08:50:19,10.7,14.2,0.0,1486.0,391.0,1827403.0,561790.0,3.5,7.166666666666667,33.0,17.0,62.01,0.0,0.0,19.0,403.0,0.0
REPLAY-MIX,2026-09-11 08:50:24,10.5,17.5,0.0,1553.0,396.0,941940.0,980750.0,0.0,21.4,34.0,18.0,203.61,0.0,0.0,23.0,403.0,0.0
REPLAY-MIX,2026-09-11 08:50:29,5.8,15.0,0.0,1484.0,402.0,43978.0,959445.0,0.0,19.4,33.0,16.0,214.84,0.0,0.0,17.0,403.0,0.0
REPLAY-MIX,2026-09-11 08:50:34,17.2,20.8,0.0,1115.0,407.0,4311152.0,1350812.0,0.0,17.8,40.0,22.0,168.44,0.0,0.0,17.0,403.0,0.0
REPLAY-MIX,2026-09-11 08:50:39,22.2,20.4,0.0,877.0,412.0,2898192.0,1965999.0,0.0,0.0,40.0,22.0,0.78,0.0,0.0,25.0,403.0,0.0
REPLAY-MIX,2026-09-11 08:50:44,12.1,16.3,0.0,914.0,417.0,2535108.0,1296850.0,0.0,0.0,40.0,22.0,1.35,0.0,0.0,34.0,403.0,0.0
REPLAY-MIX,2026-09-11 08:50:50,6.7,12.2,0.0,950.0,422.0,1669866.0,362640.0,0.0,0.0,40.0,22.0,3.48,0.0,0.0,23.0,403.0,0.08
REPLAY-MIX,2026-09-11 08:50:55,6.1,17.8,0.0,919.0,427.0,2520173.0,960526.0,0.0,19.2,40.0,17.0,170.11,0.0,0.0,12.0,403.0,0.07
REPLAY-MIX,2026-09-11 08:51:00,7.7,19.7,0.0,901.0,432.0,1185480.0,1102347.0,0.0,19.8,40.0,16.0,195.5,0.0,0.0,23.0,403.0,0.07
REPLAY-MIX,2026-09-11 08:51:05,8.8,18.0,0.0,1018.0,437.0,638924.0,1408345.0,0.0,22.6,41.0,18.0,186.92,0.0,0.0,27.0,403.0,0.06
REPLAY-MIX,2026-09-11 08:51:10,12.7,20.4,0.0,997.0,443.0,6671264.0,705205.0,0.0,5.4,44.0,24.0,62.33,0.0,0.0,8.0,403.0,0.06
REPLAY-MIX,2026-09-11 08:51:15,10.8,12.4,0.0,904.0,449.0,2825127.0,399649.0,0.0,0.0,44.0,24.0,2.73,0.0,0.0,14.0,403.0,0.05
REPLAY-MIX,2026-09-11 08:51:20,14.2,18.2,0.0,840.0,454.0,1654808.0,1352471.0,0.0,0.4,43.0,25.0,7.75,0.0,0.0,16.0,403.0,0.05
REPLAY-MIX,2026-09-11 08:51:26,10.1,21.1,0.0,884.0,459.0,1413878.0,1450249.0,0.0,8.166666666666666,43.0,17.0,85.96,0.0,0.0,22.0,403.0,0.04
REPLAY-MIX,2026-09-11 08:51:31,9.4,20.5,0.0,934.0,464.0,1318170.0,1262154.0,0.0,19.4,43.0,18.0,194.28,0.0,0.0,10.0,403.0,0.04
REPLAY-MIX,2026-09-11 08:51:36,10.3,19.6,0.0,949.0,469.0,239880.0,837638.0,0.0,18.8,42.0,17.0,183.98,0.0,0.0,17.0,403.0,0.04
REPLAY-MIX,2026-09-11 08:51:41,11.5,27.2,0.0,812.0,474.0,5064111.0,726138.0,0.0,17.6,44.0,24.0,150.04,0.0,0.0,23.0,403.0,0.03
REPLAY-MIX,2026-09-11 08:51:46,25.0,53.0,0.0,407.0,479.0,6953637.0,9205333.350000024,0.0,0.0,39.0,19.0,1.16,0.0,0.0,21.0,403.0,0.03
REPLAY-MIX,2026-09-11 08:51:51,11.2,48.9,0.0,439.0,484.0,2918006.0,1097068.0,0.0,0.0,37.0,17.0,1.36,0.0,0.0,15.0,403.0,0.11
REPLAY-MIX,2026-09-11 08:51:56,9.7,49.8,0.0,439.0,489.0,1087729.0,874203.0,0.0,0.0,34.0,16.0,0.98,0.0,0.0,22.0,403.0,0.1
REPLAY-MIX,2026-09-11 08:52:01,9.7,18.6,0.0,417.0,494.0,762656.0,911856.0,0.0,20.6,34.0,11.0,173.24,0.0,0.0,12.0,403.0,0.09
REPLAY-MIX,2026-09-11 08:52:07,9.2,18.0,0.0,407.0,500.0,414879.0,936322.0,0.0,17.833333333333332,34.0,11.0,193.45,0.0,0.0,28.0,403.0,0.09
REPLAY-MIX,2026-09-11 08:52:12,10.1,19.3,0.0,411.0,505.0,2168674.0,896714.0,0.0,24.4,35.0,12.0,185.13,0.0,0.0,12.0,403.0,0.08
REPLAY-MIX,2026-09-11 08:52:17,12.1,46.5,0.0,489.0,510.0,654260.0,1022869.0,0.0,12.8,37.0,10.0,62.23,0.0,0.0,19.0,403.0,0.07
REPLAY-MIX,2026-09-11 08:52:22,14.9,53.5,0.0,633.0,515.0,371366.0,743385.0,0.0,11.8,37.0,11.0,1.27,0.0,0.0,12.0,403.0,0.15
REPLAY-MIX,2026-09-11 08:52:29,9.9,54.2,0.0,613.0,522.0,1527184.0,954023.0,0.0,9.285714285714286,37.0,10.0,1.3,0.0,0.0,22.0,403.0,0.13
REPLAY-MIX,2026-09-11 08:52:35,13.4,24.8,0.0,515.0,528.0,13013080.50000002,2447991.0,136.9916666666664,40.66799999999997,34.0,11.0,138.03,0.0,0.0,24.0,403.0,0.11
REPLAY-MIX,2026-09-11 08:52:40,5.7,14.6,0.0,683.0,533.0,259969.0,706992.0,0.0,19.8,34.0,11.0,180.63,0.0,0.0,11.0,403.0,0.1
REPLAY-MIX,2026-09-11 08:52:45,7.5,18.2,0.0,719.0,538.0,881369.0,1064800.0,0.0,20.0,34.0,11.0,201.33,0.0,0.0,21.0,403.0,0.1
REPLAY-MIX,2026-09-11 08:52:50,11.3,51.8,0.0,682.0,543.0,538851.0,222692.0,0.0,4.2,35.0,16.0,41.71,0.0,0.0,22.0,403.0,0.09
REPLAY-MIX,2026-09-11 08:52:56,10.6,35.4,0.0,644.0,548.0,2335582.0,428990.0,0.0,3.333333333333333,35.0,11.0,26.34,0.0,0.0,18.0,403.0,0.08
REPLAY-MIX,2026-09-11 08:53:01,5.9,16.6,0.0,653.0,554.0,310572.0,585413.0,0.2,20.2,35.0,10.0,210.92,0.0,0.0,13.0,403.0,0.08
REPLAY-MIX,2026-09-11 08:53:06,7.6,17.6,0.0,657.0,559.0,333729.0,787903.0,0.6,20.6,35.0,10.0,206.35,0.0,0.0,21.0,403.0,0.07
REPLAY-MIX,2026-09-11 08:53:11,10.9,21.5,0.0,800.0,565.0,2634909.0,841930.0,1.2,22.6,35.0,10.0,187.99,0.0,0.0,23.0,403.0,0.06
REPLAY-MIX,2026-09-11 08:53:16,10.7,12.8,0.0,831.0,570.0,270672.0,1071715.0,0.0,0.8,24.0,10.0,10.72,0.0,0.0,9.0,403.0,0.2737500000000004
REPLAY-MIX,2026-09-23 11:35:15,9.4,43.8,0.0,2373.0,2130.0,53823.0,2224077.0,0.0,53.6,22.0,14.0,746.65,0.0,0.0,4073.0,0.0,0.14
REPLAY-MIX,2026-09-23 11:35:20,7.4,43.1,0.0,2399.0,2136.0,24782.0,1330056.0,0.0,46.8,22.0,16.0,713.05,0.0,0.0,4073.0,0.0,0.12
REPLAY-MIX,2026-09-23 11:35:26,8.1,42.7,0.0,2406.0,2141.0,27191.0,1208869.0,0.0,39.66666666666666,22.0,17.0,724.41,0.0,0.0,4070.0,0.0,0.11
REPLAY-MIX,2026-09-23 11:35:31,6.1,41.6,0.0,2401.0,2146.0,40324.0,1564041.0,0.0,50.2,22.0,17.0,765.72,0.0,0.0,4070.0,0.0,0.1
REPLAY-MIX,2026-09-23 11:35:36,6.5,42.1,0.0,2429.0,2152.0,527131.0,4782784.0,0.0,51.0,22.0,15.0,745.15,0.0,0.0,4070.0,0.0,0.09
REPLAY-MIX,2026-09-23 11:35:41,7.1,42.0,0.0,2406.0,2157.0,197374.0,1286124.0,0.0,47.4,22.0,18.0,715.73,0.0,0.0,4066.0,0.0,0.09
REPLAY-MIX,2026-09-23 11:35:47,6.3,41.8,0.0,2466.0,2162.0,69964.0,3721915.0,0.0,50.5,22.0,18.0,787.95,0.0,0.0,4066.0,0.0,0.08
REPLAY-MIX,2026-09-23 11:35:52,7.3,43.4,0.0,2462.0,2167.0,31704.0,1395285.0,0.0,55.6,23.0,18.0,785.05,0.0,0.0,4067.0,0.0,0.07
REPLAY-MIX,2026-09-23 11:35:57,8.2,42.5,0.0,2475.0,2173.0,3984.0,1363281.0,0.0,57.4,23.0,16.0,799.5,0.0,0.0,4067.0,0.0,0.07
REPLAY-MIX,2026-09-23 11:36:03,8.4,43.3,0.0,2425.0,2178.0,3999.0,1470626.0,0.0,40.16666666666666,23.0,17.0,784.38,0.0,0.0,4075.0,0.0,0.06
REPLAY-MIX,2026-09-23 11:36:08,7.3,42.8,0.0,2422.0,2183.0,16270.0,1345375.0,0.0,52.8,22.0,13.0,719.58,0.0,0.0,4075.0,0.0,0.06
REPLAY-MIX,2026-09-23 11:36:13,6.8,44.0,0.0,2349.0,2188.0,16225.0,1221691.0,0.0,52.0,22.0,14.0,719.49,0.0,0.0,4075.0,0.0,0.05
REPLAY-MIX,2026-09-23 11:36:19,7.3,42.7,0.0,2349.0,2194.0,3957.0,1580556.0,0.0,44.5,23.0,17.0,770.67,0.0,0.0,4080.0,0.0,0.53
REPLAY-MIX,2026-09-23 11:36:24,7.7,43.2,0.0,2382.0,2199.0,3935.0,1134317.0,0.0,48.4,23.0,20.0,788.72,0.0,0.0,4080.0,0.0,0.49
REPLAY-MIX,2026-09-23 11:36:29,10.7,45.8,0.0,2378.0,2204.0,203655.0,1270981.0,0.0,42.4,23.0,18.0,714.65,0.0,0.0,4099.0,0.0,0.45
REPLAY-MIX,2026-09-23 11:36:34,8.7,43.8,0.0,2369.0,2209.0,7049.0,1690534.0,0.0,48.0,22.0,14.0,718.71,0.0,0.0,4099.0,0.0,0.41
REPLAY-MIX,2026-09-23 11:36:40,9.8,43.9,0.0,2236.0,2215.0,48518.0,5363213.0,0.0,35.333333333333336,22.0,18.0,745.15,0.0,0.0,4099.0,0.0,0.46
REPLAY-MIX,2026-09-23 11:36:45,12.3,44.5,0.0,2128.0,2220.0,279374.0,1839118.0,0.0,50.8,23.0,17.0,709.39,0.0,0.0,4077.0,0.0,0.42
REPLAY-MIX,2026-09-23 11:36:50,8.8,45.1,0.0,2168.0,2225.0,99341.0,6258576.0,0.0,56.2,23.0,17.0,761.65,0.0,0.0,4077.0,0.0,0.36
REPLAY-MIX,2026-09-23 11:36:56,9.6,44.9,0.0,2194.0,2231.0,236692.0,6701952.0,0.0,42.5,22.0,17.0,724.39,0.0,0.0,4076.0,0.0,0.33
REPLAY-MIX,2026-09-23 11:37:01,11.9,43.9,0.0,2157.0,2236.0,31378.0,1610030.0,0.0,49.0,23.0,17.0,736.74,0.0,0.0,4076.0,0.0,0.3
REPLAY-MIX,2026-09-23 11:37:06,14.3,45.4,0.0,2104.0,2241.0,333996.0,6039172.0,0.0,45.6,23.0,15.0,698.06,0.0,0.0,4076.0,0.0,0.28
REPLAY-MIX,2026-09-23 11:37:12,11.1,43.9,0.0,2102.0,2246.0,23519.0,1349846.0,0.0,40.66666666666666,22.0,17.0,704.28,0.0,0.0,4045.0,0.0,0.26
REPLAY-MIX,2026-09-23 11:37:17,14.9,37.2,0.0,1897.0,2252.0,22641.0,797573.0,0.0,31.2,22.0,17.0,464.97,0.0,0.0,4045.0,0.0,0.24
REPLAY-MIX,2026-09-23 11:37:22,12.2,44.2,0.0,1848.0,2258.0,3295897.0,4197627.0,0.0,43.0,22.0,17.0,716.91,0.0,0.0,4056.0,0.0,0.3
REPLAY-MIX,2026-09-23 11:37:28,11.4,47.8,0.0,2032.0,2263.0,1609818.0,3409168.0,0.0,32.666666666666664,22.0,14.0,645.52,0.0,0.0,4056.0,0.0,0.27
REPLAY-MIX,2026-09-23 11:37:33,12.1,47.1,0.0,1969.0,2269.0,1131465.0,1430784.0,0.0,39.0,22.0,17.0,697.54,0.0,0.0,4056.0,0.0,0.25
REPLAY-MIX,2026-09-23 11:37:38,18.4,48.8,0.0,2016.0,2274.0,469826.0,2249695.0,0.0,39.4,22.0,19.0,639.76,0.0,0.0,4069.0,0.0,0.23
REPLAY-MIX,2026-09-23 11:37:44,17.6,44.0,0.0,2049.0,2279.0,1220581.0,1117258.0,0.0,31.666666666666668,14.0,11.0,573.66,0.0,0.0,4069.0,0.0,0.21
REPLAY-MIX,2026-09-23 11:37:49,17.7,13.0,0.0,2077.0,2284.0,797196.0,357781.0,0.0,0.0,12.0,9.0,0.58,0.0,0.0,4063.0,0.0,0.2
