columna,total,nulos,pct_nulos,unicos,media,desv_std,min,max
cpu_usr,1512,0,0.0,353,33.24,15.6368,0.0,63.8
cpu_sys,1512,0,0.0,319,23.7956,12.9118,0.0,56.9
cpu_idl,1512,0,0.0,430,37.2673,16.0511,0.0,87.0
cpu_wai,1512,0,0.0,15,0.0607,0.1832,0.0,2.3
cpu_stl,1512,0,0.0,1,0.0,0.0,0.0,0.0
memory_percent,1512,0,0.0,190,67.4032,17.7398,45.6,99.3
memory_used_mb,1512,0,0.0,578,6112.3214,5978.6943,1784.0,16052.0
memory_available_mb,1512,0,0.0,541,1495.0595,437.4501,112.0,2132.0
disk_read_per_sec,1512,0,0.0,607,1901996.8981,7324533.2573,0.0,111461893.0
disk_write_per_sec,1512,0,0.0,937,3160648.4299,6363187.61,0.0,118675560.0
net_send_per_sec,1512,0,0.0,934,66750.4828,112745.8264,0.0,877584.0
net_recv_per_sec,1512,0,0.0,948,92754.0827,118267.1232,0.0,1726219.0
load1,1512,0,0.0,392,6.454,5.0633,0.0,28.37
load5,1512,0,0.0,352,4.9108,3.7734,0.0,13.61
load15,1512,0,0.0,299,3.5386,2.5662,0.0,7.73
active_sessions,1512,0,0.0,31,30.168,7.0138,21.0,51.0
active_requests,1512,0,0.0,26,15.8942,5.3838,9.0,34.0
long_queries,1512,1512,100.0,0,,,,
long_transactions,1512,1512,100.0,0,,,,
idle_sessions,1512,0,0.0,30,26.9967,5.3199,17.0,46.0
lock_waits,1512,0,0.0,8,0.1581,0.8245,0.0,10.0
total_locks,1512,0,0.0,108,249.045,2935.9182,13.0,72465.0
deadlocks_per_sec,1512,0,0.0,16,5.8671,18.9529,0.0,105.0
venta_locks,1512,0,0.0,7,0.127,1.2654,0.0,28.0
detalle_venta_locks,1512,0,0.0,5,0.0218,0.3971,0.0,9.0
inventario_locks,1512,0,0.0,4,0.0165,0.2309,0.0,4.0
kardex_locks,1512,0,0.0,7,0.0714,0.7872,0.0,11.0
caja_locks,1512,0,0.0,1,0.0,0.0,0.0,0.0
movimiento_caja_locks,1512,0,0.0,3,0.0304,0.4185,0.0,6.0
auditoria_locks,1512,0,0.0,3,0.0066,0.1089,0.0,2.0
transactions_per_sec,1512,20,1.32,829,209.5389,247.9252,0.0,1131.66
total_reads,1512,20,1.32,21,0.3892,7.7643,0.0,218.0
total_writes,1512,20,1.32,316,11.8537,22.8176,0.0,138.0
page_life_expectancy,1512,0,0.0,874,2642.5205,1350.673,52.0,7059.0
page_reads_per_sec,1512,20,1.32,1,0.0,0.0,0.0,0.0
page_writes_per_sec,1512,20,1.32,1,0.0,0.0,0.0,0.0
rollbacks_per_sec,1512,20,1.32,1,0.0,0.0,0.0,0.0
batch_requests_per_sec,1512,20,1.32,1,0.0,0.0,0.0,0.0
sql_compilations_per_sec,1512,20,1.32,1,0.0,0.0,0.0,0.0
api_status,1512,0,0.0,3,200.1534,200.6268,0.0,403.0
api_latency_ms,1512,0,0.0,164,2515.1925,2481.8938,0.0,5304.0
products_count,1512,0,0.0,5,7.0159,72.8495,0.0,822.0
sales_count,1512,0,0.0,1,0.0,0.0,0.0,0.0
events_login_count,1512,0,0.0,1,0.0,0.0,0.0,0.0
events_logout_count,1512,0,0.0,1,0.0,0.0,0.0,0.0
events_batch_count,1512,0,0.0,12,0.8717,1.6973,0.0,11.0
events_lock_count,1512,0,0.0,41,4.9868,8.6704,0.0,50.0
events_wait_count,1512,0,0.0,1,0.0,0.0,0.0,0.0
duration_max_ms,1512,0,0.0,231,9150.627,227170.9491,-24.0,6248960.0
duration_avg_ms,1512,0,0.0,244,5565.1001,136417.7214,-24.0,3752563.0
query_duration_max_ms,1512,0,0.0,231,9150.627,227170.9491,-24.0,6248960.0
query_duration_avg_ms,1512,0,0.0,244,5565.1001,136417.7214,-24.0,3752563.0
cpu_time_sum_ms,1512,0,0.0,147,149.1336,509.396,0.0,4628.0
logical_reads_sum,1512,0,0.0,2,0.0529,1.4543,0.0,40.0
writes_sum,1512,0,0.0,1,0.0,0.0,0.0,0.0
wait_lck_count,1512,0,0.0,1,0.0,0.0,0.0,0.0
wait_io_count,1512,0,0.0,1,0.0,0.0,0.0,0.0
wait_log_count,1512,0,0.0,2,0.0026,0.0514,0.0,1.0
distinct_sessions_count,1512,0,0.0,6,0.5582,0.9321,0.0,6.0
cpu_total,1512,0,0.0,440,57.0356,14.8843,0.0,93.7
query_count,1512,0,0.0,12,0.8717,1.6973,0.0,11.0
wait_count,1512,0,0.0,1,0.0,0.0,0.0,0.0
lock_event_count,1512,0,0.0,41,4.9868,8.6704,0.0,50.0
error_count,1512,0,0.0,13,0.2361,2.97,0.0,52.0
requests_per_session,1512,0,0.0,174,0.5186,0.0843,0.2432,0.7174
max_server_memory,1512,1486,98.28,1,4096.0,0.0,4096.0,4096.0
user_connections_setting,1512,1486,98.28,1,0.0,0.0,0.0,0.0
cost_threshold,1512,1486,98.28,1,5.0,0.0,5.0,5.0
log_error_count,1512,456,30.16,5,0.0341,0.3976,0.0,7.0
log_warning_count,1512,456,30.16,1,0.0,0.0,0.0,0.0
log_fatal_count,1512,456,30.16,1,0.0,0.0,0.0,0.0
