columna,presente,senal,nulos_pct,unicos,media,decision_modelo,motivo_decision
cpu_usr,True,CLAVE,0.0,282,33.9885,MANTENER,variabilidad y disponibilidad suficientes para el modelado
cpu_sys,True,CLAVE,0.0,250,21.1646,MANTENER,variabilidad y disponibilidad suficientes para el modelado
cpu_idl,True,CLAVE,0.0,330,39.0017,MANTENER,variabilidad y disponibilidad suficientes para el modelado
cpu_wai,True,CLAVE,0.0,15,0.0646,MANTENER,variabilidad y disponibilidad suficientes para el modelado
cpu_stl,True,CONSTANTE,0.0,1,0.0,ELIMINAR,todos los valores disponibles son 0
memory_percent,True,CLAVE,0.0,181,65.3727,MANTENER,variabilidad y disponibilidad suficientes para el modelado
memory_used_mb,True,CLAVE,0.0,394,5476.6535,MANTENER,variabilidad y disponibilidad suficientes para el modelado
memory_available_mb,True,CLAVE,0.0,372,1578.8704,MANTENER,variabilidad y disponibilidad suficientes para el modelado
disk_read_per_sec,True,CLAVE,0.0,352,2129961.5099,MANTENER,variabilidad y disponibilidad suficientes para el modelado
disk_write_per_sec,True,CLAVE,0.0,684,3390518.2197,MANTENER,variabilidad y disponibilidad suficientes para el modelado
net_send_per_sec,True,CLAVE,0.0,689,68674.8479,MANTENER,variabilidad y disponibilidad suficientes para el modelado
net_recv_per_sec,True,CLAVE,0.0,701,89791.4676,MANTENER,variabilidad y disponibilidad suficientes para el modelado
load1,True,CLAVE,0.0,276,6.6772,MANTENER,variabilidad y disponibilidad suficientes para el modelado
load5,True,CLAVE,0.0,270,5.0869,MANTENER,variabilidad y disponibilidad suficientes para el modelado
load15,True,CLAVE,0.0,267,3.6984,MANTENER,variabilidad y disponibilidad suficientes para el modelado
active_sessions,True,CLAVE,0.0,29,29.3085,MANTENER,variabilidad y disponibilidad suficientes para el modelado
active_requests,True,CLAVE,0.0,23,14.6535,MANTENER,variabilidad y disponibilidad suficientes para el modelado
long_queries,True,MUCHO_NAN,100.0,0,,ELIMINAR,supera el límite permitido de valores NaN
long_transactions,True,MUCHO_NAN,100.0,0,,ELIMINAR,supera el límite permitido de valores NaN
idle_sessions,True,CLAVE,0.0,29,26.8535,MANTENER,variabilidad y disponibilidad suficientes para el modelado
lock_waits,True,CLAVE,0.0,5,0.1915,MANTENER,variabilidad y disponibilidad suficientes para el modelado
total_locks,True,CLAVE,0.0,70,403.5394,MANTENER,variabilidad y disponibilidad suficientes para el modelado
deadlocks_per_sec,True,CLAVE,0.0,14,11.3197,MANTENER,variabilidad y disponibilidad suficientes para el modelado
venta_locks,True,CLAVE,0.0,7,0.1141,MANTENER,variabilidad y disponibilidad suficientes para el modelado
detalle_venta_locks,True,CLAVE,0.0,3,0.0211,MANTENER,variabilidad y disponibilidad suficientes para el modelado
inventario_locks,True,CLAVE,0.0,4,0.0183,MANTENER,variabilidad y disponibilidad suficientes para el modelado
kardex_locks,True,CLAVE,0.0,7,0.0761,MANTENER,variabilidad y disponibilidad suficientes para el modelado
caja_locks,True,CONSTANTE,0.0,1,0.0,ELIMINAR,todos los valores disponibles son 0
movimiento_caja_locks,True,CLAVE,0.0,3,0.0324,MANTENER,variabilidad y disponibilidad suficientes para el modelado
auditoria_locks,True,CLAVE,0.0,3,0.007,MANTENER,variabilidad y disponibilidad suficientes para el modelado
transactions_per_sec,True,CLAVE,1.55,586,175.9976,MANTENER,senal suficiente; contiene algunos NaN que pueden corresponder a muestras iniciales o datos faltantes
total_reads,True,CLAVE,1.55,18,0.4944,MANTENER,senal suficiente; contiene algunos NaN que pueden corresponder a muestras iniciales o datos faltantes
total_writes,True,CLAVE,1.55,176,9.8793,MANTENER,senal suficiente; contiene algunos NaN que pueden corresponder a muestras iniciales o datos faltantes
page_life_expectancy,True,CLAVE,0.0,669,2791.6873,MANTENER,variabilidad y disponibilidad suficientes para el modelado
page_reads_per_sec,True,CONSTANTE,1.55,1,0.0,ELIMINAR,todos los valores disponibles son 0
page_writes_per_sec,True,CONSTANTE,1.55,1,0.0,ELIMINAR,todos los valores disponibles son 0
rollbacks_per_sec,True,CONSTANTE,1.55,1,0.0,ELIMINAR,todos los valores disponibles son 0
batch_requests_per_sec,True,CONSTANTE,1.55,1,0.0,ELIMINAR,todos los valores disponibles son 0
sql_compilations_per_sec,True,CONSTANTE,1.55,1,0.0,ELIMINAR,todos los valores disponibles son 0
api_status,True,CLAVE,0.0,3,187.0113,MANTENER,variabilidad y disponibilidad suficientes para el modelado
api_latency_ms,True,CLAVE,0.0,152,2679.9915,MANTENER,variabilidad y disponibilidad suficientes para el modelado
products_count,True,CLAVE,0.0,5,7.4704,MANTENER,variabilidad y disponibilidad suficientes para el modelado
sales_count,True,CONSTANTE,0.0,1,0.0,ELIMINAR,todos los valores disponibles son 0
events_login_count,True,CONSTANTE,0.0,1,0.0,ELIMINAR,todos los valores disponibles son 0
events_logout_count,True,CONSTANTE,0.0,1,0.0,ELIMINAR,todos los valores disponibles son 0
events_batch_count,True,CLAVE,0.0,12,0.9282,MANTENER,variabilidad y disponibilidad suficientes para el modelado
events_lock_count,True,CLAVE,0.0,37,3.9676,MANTENER,variabilidad y disponibilidad suficientes para el modelado
events_wait_count,True,CONSTANTE,0.0,1,0.0,ELIMINAR,todos los valores disponibles son 0
duration_max_ms,True,CLAVE,0.0,231,9743.4845,MANTENER,variabilidad y disponibilidad suficientes para el modelado
duration_avg_ms,True,CLAVE,0.0,244,5925.6559,MANTENER,variabilidad y disponibilidad suficientes para el modelado
query_duration_max_ms,True,CLAVE,0.0,231,9743.4845,MANTENER,variabilidad y disponibilidad suficientes para el modelado
query_duration_avg_ms,True,CLAVE,0.0,244,5925.6559,MANTENER,variabilidad y disponibilidad suficientes para el modelado
cpu_time_sum_ms,True,CLAVE,0.0,147,158.7958,MANTENER,variabilidad y disponibilidad suficientes para el modelado
logical_reads_sum,True,CLAVE,0.0,2,0.0563,MANTENER,variabilidad y disponibilidad suficientes para el modelado
writes_sum,True,CONSTANTE,0.0,1,0.0,ELIMINAR,todos los valores disponibles son 0
wait_lck_count,True,CONSTANTE,0.0,1,0.0,ELIMINAR,todos los valores disponibles son 0
