corrida,grupo,origen,motor,nodo,fuente,existe,tamano_mb,lineas
10,baseline,legacy,,,metrics.log,True,0.0461,850
10,baseline,legacy,,,events.log,True,0.0489,389
10,baseline,legacy,,,sqlserver_logs.log,True,0.0192,151
11,anomalias,legacy,,,metrics.log,True,0.0876,1615
11,anomalias,legacy,,,events.log,True,0.0529,408
11,anomalias,legacy,,,sqlserver_logs.log,True,0.0196,153
6,anomalias,legacy,,,metrics.log,True,0.0876,1615
6,anomalias,legacy,,,events.log,True,0.0568,431
6,anomalias,legacy,,,sqlserver_logs.log,True,0.0197,154
8,baseline,legacy,,,metrics.log,True,0.0461,850
8,baseline,legacy,,,events.log,True,0.0581,452
8,baseline,legacy,,,sqlserver_logs.log,True,0.0197,154
carga1,baseline,legacy,,,metrics.log,True,0.1484,2788
carga1,baseline,legacy,,,events.log,True,0.098,602
carga1,baseline,legacy,,,sqlserver_logs.log,True,0.0191,152
carga11,baseline,legacy,,,metrics.log,True,0.0413,760
carga11,baseline,legacy,,,events.log,True,0.0615,475
carga11,baseline,legacy,,,sqlserver_logs.log,True,0.0197,154
carga18,baseline,legacy,,,metrics.log,True,0.0608,1120
carga18,baseline,legacy,,,events.log,True,0.0553,441
carga18,baseline,legacy,,,sqlserver_logs.log,True,0.0196,153
carga19,baseline,legacy,,,metrics.log,True,0.061,1123
carga19,baseline,legacy,,,events.log,True,0.0597,480
carga19,baseline,legacy,,,sqlserver_logs.log,True,0.0196,153
carga2,baseline,legacy,,,metrics.log,True,0.0428,805
carga2,baseline,legacy,,,events.log,True,0.0622,344
carga2,baseline,legacy,,,sqlserver_logs.log,True,0.0195,155
carga20,baseline,legacy,,,metrics.log,True,0.4136,7615
carga20,baseline,legacy,,,events.log,True,0.3645,2904
carga20,baseline,legacy,,,sqlserver_logs.log,True,0.0196,153
carga3,anomalias,legacy,,,metrics.log,True,0.0981,1843
carga3,anomalias,legacy,,,events.log,True,0.1243,663
carga3,anomalias,legacy,,,sqlserver_logs.log,True,0.0195,155
carga4,baseline,legacy,,,metrics.log,True,0.9751,18334
carga4,baseline,legacy,,,events.log,True,0.1253,708
carga4,baseline,legacy,,,sqlserver_logs.log,True,0.0203,162
carga5,anomalias,legacy,,,metrics.log,True,0.0876,1615
carga5,anomalias,legacy,,,events.log,True,0.0627,465
carga5,anomalias,legacy,,,sqlserver_logs.log,True,0.0197,154
carga7,baseline,legacy,,,metrics.log,True,0.0461,850
carga7,baseline,legacy,,,events.log,True,0.0569,454
carga7,baseline,legacy,,,sqlserver_logs.log,True,0.0194,152
normal_alta_01,baseline,legacy,,,metrics.log,True,0.1367,2518
normal_alta_01,baseline,legacy,,,events.log,True,0.3138,2503
normal_alta_01,baseline,legacy,,,sqlserver_logs.log,True,0.0204,161
normal_baja_01,baseline,legacy,,,metrics.log,True,0.1464,2701
normal_baja_01,baseline,legacy,,,events.log,True,0.0347,275
normal_baja_01,baseline,legacy,,,sqlserver_logs.log,True,0.0204,161
normal_baja_02,baseline,legacy,,,metrics.log,True,0.1464,2701
normal_baja_02,baseline,legacy,,,events.log,True,0.0393,314
normal_baja_02,baseline,legacy,,,sqlserver_logs.log,True,0.0204,161
normal_larga_01,baseline,legacy,,,metrics.log,True,0.2002,3691
normal_larga_01,baseline,legacy,,,events.log,True,0.1899,1517
normal_larga_01,baseline,legacy,,,sqlserver_logs.log,True,0.0204,161
normal_media_01,baseline,legacy,,,metrics.log,True,0.1193,2200
normal_media_01,baseline,legacy,,,events.log,True,0.0713,569
normal_media_01,baseline,legacy,,,sqlserver_logs.log,True,0.0204,161
normal_media_02,baseline,legacy,,,metrics.log,True,0.1417,2608
normal_media_02,baseline,legacy,,,events.log,True,0.1745,1394
normal_media_02,baseline,legacy,,,sqlserver_logs.log,True,0.0204,161
normal_prueba_01,baseline,legacy,,,metrics.log,True,0.0461,850
normal_prueba_01,baseline,legacy,,,events.log,True,0.0206,168
normal_prueba_01,baseline,legacy,,,sqlserver_logs.log,True,0.0201,159
run1,baseline,legacy,,,metrics.log,True,0.1484,2788
run1,baseline,legacy,,,events.log,True,0.098,602
run1,baseline,legacy,,,sqlserver_logs.log,True,0.0191,152
run2,baseline,legacy,,,metrics.log,True,0.0428,805
run2,baseline,legacy,,,events.log,True,0.0622,344
run2,baseline,legacy,,,sqlserver_logs.log,True,0.0195,155
run3,anomalias,legacy,,,metrics.log,True,0.0981,1843
run3,anomalias,legacy,,,events.log,True,0.1243,663
run3,anomalias,legacy,,,sqlserver_logs.log,True,0.0195,155
run4,baseline,legacy,,,metrics.log,True,0.9751,18334
run4,baseline,legacy,,,events.log,True,0.1253,708
run4,baseline,legacy,,,sqlserver_logs.log,True,0.0203,162
run5,anomalias,legacy,,,metrics.log,True,0.0875,1615
run5,anomalias,legacy,,,events.log,True,0.0502,391
run5,anomalias,legacy,,,sqlserver_logs.log,True,0.0194,152
run7,baseline,legacy,,,metrics.log,True,0.0461,850
run7,baseline,legacy,,,events.log,True,0.0569,454
run7,baseline,legacy,,,sqlserver_logs.log,True,0.0194,152
