event_name,timestamp,session_id,login_name,program_name,database_name,_linea,resource_type,mode,process_type
login,2026-09-11 08:48:30.825,73,sa,Python,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-11 08:48:30.825"", ""session_id"": 73, ""login_name"": ""sa"", ""program_name"": ""Python"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
login,2026-09-11 08:48:30.825,75,sa,Python,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-11 08:48:30.825"", ""session_id"": 75, ""login_name"": ""sa"", ""program_name"": ""Python"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
login,2026-09-11 08:48:30.825,76,sa,SteelNortCargaNormal,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-11 08:48:30.825"", ""session_id"": 76, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaNormal"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
login,2026-09-11 08:48:30.825,77,sa,SteelNortCargaNormal,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-11 08:48:30.825"", ""session_id"": 77, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaNormal"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
login,2026-09-11 08:48:30.825,78,sa,SteelNortCargaNormal,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-11 08:48:30.825"", ""session_id"": 78, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaNormal"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
login,2026-09-11 08:48:30.825,80,sa,SteelNortCargaNormal,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-11 08:48:30.825"", ""session_id"": 80, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaNormal"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
login,2026-09-11 08:48:30.825,81,sa,SteelNortCargaNormal,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-11 08:48:30.825"", ""session_id"": 81, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaNormal"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
login,2026-09-11 08:48:30.825,82,sa,SteelNortCargaNormal,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-11 08:48:30.825"", ""session_id"": 82, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaNormal"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
login,2026-09-11 08:48:30.825,83,sa,SteelNortCargaNormal,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-11 08:48:30.825"", ""session_id"": 83, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaNormal"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
login,2026-09-11 08:48:30.825,84,sa,SteelNortCargaNormal,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-11 08:48:30.825"", ""session_id"": 84, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaNormal"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
login,2026-09-11 08:48:30.825,85,sa,SteelNortCargaNormal,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-11 08:48:30.825"", ""session_id"": 85, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaNormal"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
login,2026-09-11 08:48:30.825,86,sa,SteelNortCargaNormal,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-11 08:48:30.825"", ""session_id"": 86, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaNormal"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
lock_acquired,2026-09-11 08:48:30.825,78,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:48:30.825"", ""session_id"": 78, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,UNKNOWN
lock_acquired,2026-09-11 08:48:30.825,82,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:48:30.825"", ""session_id"": 82, ""resource_type"": ""PAGE"", ""mode"": ""S""}",PAGE,S,UNKNOWN
lock_acquired,2026-09-11 08:48:30.825,82,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:48:30.825"", ""session_id"": 82, ""resource_type"": ""DATABASE"", ""mode"": ""S""}",DATABASE,S,UNKNOWN
lock_acquired,2026-09-11 08:48:30.825,86,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:48:30.825"", ""session_id"": 86, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,UNKNOWN
lock_acquired,2026-09-11 08:48:30.825,81,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:48:30.825"", ""session_id"": 81, ""resource_type"": ""DATABASE"", ""mode"": ""S""}",DATABASE,S,UNKNOWN
lock_acquired,2026-09-11 08:48:30.825,77,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:48:30.825"", ""session_id"": 77, ""resource_type"": ""KEY"", ""mode"": ""X""}",KEY,X,UNKNOWN
lock_acquired,2026-09-11 08:48:30.825,78,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:48:30.825"", ""session_id"": 78, ""resource_type"": ""PAGE"", ""mode"": ""S""}",PAGE,S,UNKNOWN
lock_acquired,2026-09-11 08:48:30.825,78,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:48:30.825"", ""session_id"": 78, ""resource_type"": ""DATABASE"", ""mode"": ""S""}",DATABASE,S,UNKNOWN
lock_acquired,2026-09-11 08:48:30.825,77,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:48:30.825"", ""session_id"": 77, ""resource_type"": ""DATABASE"", ""mode"": ""S""}",DATABASE,S,UNKNOWN
lock_acquired,2026-09-11 08:48:30.825,80,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:48:30.825"", ""session_id"": 80, ""resource_type"": ""DATABASE"", ""mode"": ""S""}",DATABASE,S,UNKNOWN
lock_acquired,2026-09-11 08:48:30.825,76,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:48:30.825"", ""session_id"": 76, ""resource_type"": ""KEY"", ""mode"": ""S""}",KEY,S,UNKNOWN
lock_acquired,2026-09-11 08:48:30.825,84,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:48:30.825"", ""session_id"": 84, ""resource_type"": ""DATABASE"", ""mode"": ""S""}",DATABASE,S,UNKNOWN
lock_acquired,2026-09-11 08:48:30.825,75,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:48:30.825"", ""session_id"": 75, ""resource_type"": ""DATABASE"", ""mode"": ""S""}",DATABASE,S,UNKNOWN
lock_acquired,2026-09-11 08:48:30.825,76,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:48:30.825"", ""session_id"": 76, ""resource_type"": ""OBJECT"", ""mode"": ""Sch-S""}",OBJECT,Sch-S,UNKNOWN
