event_name,timestamp,session_id,login_name,program_name,database_name,_linea,resource_type,mode,severity,error_number,message,process_type
login,2026-09-11 08:50:18.279,73.0,sa,Python,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-11 08:50:18.279"", ""session_id"": 73, ""login_name"": ""sa"", ""program_name"": ""Python"", ""database_name"": ""SteelNort""}",0,0,0.0,0.0,0,UNKNOWN
login,2026-09-11 08:50:18.279,75.0,sa,Python,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-11 08:50:18.279"", ""session_id"": 75, ""login_name"": ""sa"", ""program_name"": ""Python"", ""database_name"": ""SteelNort""}",0,0,0.0,0.0,0,UNKNOWN
login,2026-09-11 08:50:18.279,76.0,sa,SteelNortCargaNormal,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-11 08:50:18.279"", ""session_id"": 76, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaNormal"", ""database_name"": ""SteelNort""}",0,0,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:18.279,75.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:18.279"", ""session_id"": 75, ""resource_type"": ""DATABASE"", ""mode"": ""S""}",DATABASE,S,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:18.279,76.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:18.279"", ""session_id"": 76, ""resource_type"": ""DATABASE"", ""mode"": ""S""}",DATABASE,S,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:18.279,73.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:18.279"", ""session_id"": 73, ""resource_type"": ""DATABASE"", ""mode"": ""S""}",DATABASE,S,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:18.279,76.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:18.279"", ""session_id"": 76, ""resource_type"": ""PAGE"", ""mode"": ""S""}",PAGE,S,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:18.279,76.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:18.279"", ""session_id"": 76, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,0.0,0.0,0,UNKNOWN
lock_released,2026-09-11 08:50:18.279,70.0,0,0,0,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-11 08:50:18.279"", ""session_id"": 70, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,0.0,0.0,0,UNKNOWN
lock_released,2026-09-11 08:50:18.279,70.0,0,0,0,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-11 08:50:18.279"", ""session_id"": 70, ""resource_type"": ""METADATA"", ""mode"": ""Sch-S""}",METADATA,Sch-S,0.0,0.0,0,UNKNOWN
lock_released,2026-09-11 08:50:18.279,70.0,0,0,0,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-11 08:50:18.279"", ""session_id"": 70, ""resource_type"": ""KEY"", ""mode"": ""X""}",KEY,X,0.0,0.0,0,UNKNOWN
lock_released,2026-09-11 08:50:18.279,70.0,0,0,0,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-11 08:50:18.279"", ""session_id"": 70, ""resource_type"": ""METADATA"", ""mode"": ""Sch-M""}",METADATA,Sch-M,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:23.298,76.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:23.298"", ""session_id"": 76, ""resource_type"": ""PAGE"", ""mode"": ""IX""}",PAGE,IX,0.0,0.0,0,UNKNOWN
lock_released,2026-09-11 08:50:23.298,76.0,0,0,0,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-11 08:50:23.298"", ""session_id"": 76, ""resource_type"": ""PAGE"", ""mode"": ""S""}",PAGE,S,0.0,0.0,0,UNKNOWN
lock_acquired,2026-09-11 08:50:28.334,76.0,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-11 08:50:28.334"", ""session_id"": 76, ""resource_type"": ""OBJECT"", ""mode"": ""Sch-S""}",OBJECT,Sch-S,0.0,0.0,0,UNKNOWN
