timestamp,proceso,error_level,error_message,mensaje,log_category
2026-09-04 04:50:51.540,Server,0.0,Microsoft SQL Server 2022 (RTM-CU26) (KB5093420) - 16.0.4265.3 (X64) Jul 7 2026 14:37:25 Copyright (C) 2022 Microsoft Corporation Developer Edition (64-bit) on Linux (Ubuntu 22.04.5 LTS) <X64>,Microsoft SQL Server 2022 (RTM-CU26) (KB5093420) - 16.0.4265.3 (X64) Jul 7 2026 14:37:25 Copyright (C) 2022 Microsoft Corporation Developer Edition (64-bit) on Linux (Ubuntu 22.04.5 LTS) <X64>,INFO
2026-09-04 04:50:51.540,Server,0.0,UTC adjustment: 0:00,UTC adjustment: 0:00,INFO
2026-09-04 04:50:51.540,Server,0.0,(c) Microsoft Corporation.,(c) Microsoft Corporation.,INFO
2026-09-04 04:50:51.540,Server,0.0,All rights reserved.,All rights reserved.,INFO
2026-09-04 04:50:51.540,Server,0.0,Server process ID is 460.,Server process ID is 460.,INFO
2026-09-04 04:50:51.550,Server,0.0,Logging SQL Server messages in file '/var/opt/mssql/log/errorlog'.,Logging SQL Server messages in file '/var/opt/mssql/log/errorlog'.,ERROR
2026-09-04 04:50:51.550,Server,0.0,Registry startup parameters: -d /var/opt/mssql/data/master.mdf -l /var/opt/mssql/data/mastlog.ldf -e /var/opt/mssql/log/errorlog,Registry startup parameters: -d /var/opt/mssql/data/master.mdf -l /var/opt/mssql/data/mastlog.ldf -e /var/opt/mssql/log/errorlog,ERROR
2026-09-04 04:50:51.560,Server,0.0,"SQL Server detected 1 sockets with 3 cores per socket and 6 logical processors per socket, 6 total logical processors; using 6 logical processors based on SQL Server licensing. This is an informational message; no user action is required.","SQL Server detected 1 sockets with 3 cores per socket and 6 logical processors per socket, 6 total logical processors; using 6 logical processors based on SQL Server licensing. This is an informational message; no user action is required.",INFO
2026-09-04 04:50:51.560,Server,0.0,SQL Server is starting at normal priority base (=7). This is an informational message only. No user action is required.,SQL Server is starting at normal priority base (=7). This is an informational message only. No user action is required.,STARTUP
2026-09-04 04:50:51.560,Server,0.0,"Detected 3916 MB of RAM, 2747 MB of available memory, 2747 MB of available page file. This is an informational message; no user action is required.","Detected 3916 MB of RAM, 2747 MB of available memory, 2747 MB of available page file. This is an informational message; no user action is required.",INFO
2026-09-04 04:50:51.570,Server,0.0,Using conventional memory in the memory manager.,Using conventional memory in the memory manager.,INFO
2026-09-04 04:50:51.570,Server,0.0,Detected pause instruction latency: 140 cycles.,Detected pause instruction latency: 140 cycles.,PERFORMANCE
2026-09-04 04:50:51.570,Server,0.0,"SQL Server detected the following NUMA node configuration (NUMA Node number 0, Processor Group number 0, CPU Mask 0x000000000000003f).","SQL Server detected the following NUMA node configuration (NUMA Node number 0, Processor Group number 0, CPU Mask 0x000000000000003f).",CONFIGURATION
2026-09-04 04:50:51.580,Server,0.0,Page exclusion bitmap is enabled.,Page exclusion bitmap is enabled.,INFO
2026-09-04 04:50:51.640,Server,0.0,Buffer pool extension is not supported on Linux platform.,Buffer pool extension is not supported on Linux platform.,INFO
2026-09-04 04:50:51.650,Server,0.0,Buffer Pool: Allocating 4194304 bytes for 431353 hashPages.,Buffer Pool: Allocating 4194304 bytes for 431353 hashPages.,INFO
2026-09-04 04:50:51.830,Server,0.0,Buffer pool extension is already disabled. No action is necessary.,Buffer pool extension is already disabled. No action is necessary.,INFO
2026-09-04 04:50:52.550,Server,0.0,Installing Client TLS certificates to the store.,Installing Client TLS certificates to the store.,INFO
2026-09-04 04:50:52.570,Server,0.0,CPU vectorization level(s) detected: SSE SSE2 SSE3 SSSE3 SSE41 SSE42 AVX AVX2 POPCNT BMI1 BMI2 AVX512 (F CD BW DQ VL IFMA VBMI VBMI2 VNNI BITALG VPOQCNTDQ VP2INTERSECT),CPU vectorization level(s) detected: SSE SSE2 SSE3 SSSE3 SSE41 SSE42 AVX AVX2 POPCNT BMI1 BMI2 AVX512 (F CD BW DQ VL IFMA VBMI VBMI2 VNNI BITALG VPOQCNTDQ VP2INTERSECT),INFO
2026-09-04 04:50:52.650,Server,0.0,Successfully initialized the TLS configuration. Allowed TLS protocol versions are ['1.0 1.1 1.2']. Allowed TLS ciphers are ['ECDHE-ECDSA-AES128-GCM-SHA256:ECDHE-ECDSA-AES256-GCM-SHA384:ECDHE-RSA-AES128-GCM-SHA256:ECDHE-RSA-AES256-GCM-SHA384:ECDHE-ECDSA-AES128-SHA256:ECDHE-ECDSA-AES256-SHA384:ECDHE-ECDSA-AES256-SHA:ECDHE-ECDSA-AES128-SHA:AES256-GCM-SHA384:AES128-GCM-SHA256:AES256-SHA256:AES128-SHA256:AES256-SHA:AES128-SHA:!DHE-RSA-AES256-GCM-SHA384:!DHE-RSA-AES128-GCM-SHA256:!DHE-RSA-AES256-SHA:!DHE-RSA-AES128-SHA'].,Successfully initialized the TLS configuration. Allowed TLS protocol versions are ['1.0 1.1 1.2']. Allowed TLS ciphers are ['ECDHE-ECDSA-AES128-GCM-SHA256:ECDHE-ECDSA-AES256-GCM-SHA384:ECDHE-RSA-AES128-GCM-SHA256:ECDHE-RSA-AES256-GCM-SHA384:ECDHE-ECDSA-AES128-SHA256:ECDHE-ECDSA-AES256-SHA384:ECDHE-ECDSA-AES256-SHA:ECDHE-ECDSA-AES128-SHA:AES256-GCM-SHA384:AES128-GCM-SHA256:AES256-SHA256:AES128-SHA256:AES256-SHA:AES128-SHA:!DHE-RSA-AES256-GCM-SHA384:!DHE-RSA-AES128-GCM-SHA256:!DHE-RSA-AES256-SHA:!DHE-RSA-AES128-SHA'].,CONFIGURATION
2026-09-04 04:50:52.680,Server,0.0,"Query Store settings initialized with enabled = 1,","Query Store settings initialized with enabled = 1,",CONFIGURATION
2026-09-04 04:50:52.700,Server,0.0,The maximum number of dedicated administrator connections for this instance is '1',The maximum number of dedicated administrator connections for this instance is '1',INFO
2026-09-04 04:50:52.720,Server,0.0,Node configuration: node 0: CPU mask: 0x000000000000003f:0 Active CPU mask: 0x000000000000003f:0. This message provides a description of the NUMA configuration for this computer. This is an informational message only. No user action is required.,Node configuration: node 0: CPU mask: 0x000000000000003f:0 Active CPU mask: 0x000000000000003f:0. This message provides a description of the NUMA configuration for this computer. This is an informational message only. No user action is required.,CONFIGURATION
2026-09-04 04:50:52.740,Server,0.0,Using dynamic lock allocation. Initial allocation of 2500 Lock blocks and 5000 Lock Owner blocks per node. This is an informational message only. No user action is required.,Using dynamic lock allocation. Initial allocation of 2500 Lock blocks and 5000 Lock Owner blocks per node. This is an informational message only. No user action is required.,INFO
2026-09-04 04:50:52.790,Server,0.0,In-Memory OLTP initialized on lowend machine.,In-Memory OLTP initialized on lowend machine.,INFO
2026-09-04 04:50:52.850,Server,0.0,CLR version v4.0.30319 loaded.,CLR version v4.0.30319 loaded.,INFO
2026-09-04 04:50:52.900,Server,0.0,[INFO] Created Extended Events session 'hkenginexesession',[INFO] Created Extended Events session 'hkenginexesession',INFO
2026-09-04 04:50:52.910,Server,0.0,Database Instant File Initialization: enabled. For security and performance considerations see the topic 'Database Instant File Initialization' in SQL Server Books Online. This is an informational message only. No user action is required.,Database Instant File Initialization: enabled. For security and performance considerations see the topic 'Database Instant File Initialization' in SQL Server Books Online. This is an informational message only. No user action is required.,PERFORMANCE
2026-09-04 04:50:52.930,Server,0.0,Total Log Writer threads: 2. This is an informational message; no user action is required.,Total Log Writer threads: 2. This is an informational message; no user action is required.,INFO
2026-09-04 04:50:52.950,Server,0.0,clwb is selected for pmem flush operation.,clwb is selected for pmem flush operation.,INFO
2026-09-04 04:50:52.960,Server,0.0,Software Usage Metrics is disabled.,Software Usage Metrics is disabled.,INFO
2026-09-04 04:50:52.980,spid24s,0.0,"[1]. Feature Status: PVS: 0. CTR: 0. ConcurrentPFSUpdate: 1. ConcurrentGAMUpdate: 1. ConcurrentSGAMUpdate: 1, CleanupUnderUserTransaction: 0. TranLevelPVS: 0","[1]. Feature Status: PVS: 0. CTR: 0. ConcurrentPFSUpdate: 1. ConcurrentGAMUpdate: 1. ConcurrentSGAMUpdate: 1, CleanupUnderUserTransaction: 0. TranLevelPVS: 0",INFO
2026-09-04 04:50:52.980,spid24s,0.0,Starting up database 'master'.,Starting up database 'master'.,STARTUP
2026-09-04 04:50:53.440,spid24s,0.0,26 transactions rolled forward in database 'master' (1:0). This is an informational message only. No user action is required.,26 transactions rolled forward in database 'master' (1:0). This is an informational message only. No user action is required.,INFO
2026-09-04 04:50:53.550,spid24s,0.0,0 transactions rolled back in database 'master' (1:0). This is an informational message only. No user action is required.,0 transactions rolled back in database 'master' (1:0). This is an informational message only. No user action is required.,INFO
2026-09-04 04:50:53.570,spid24s,0.0,Recovery is writing a checkpoint in database 'master' (1). This is an informational message only. No user action is required.,Recovery is writing a checkpoint in database 'master' (1). This is an informational message only. No user action is required.,STARTUP
2026-09-04 04:50:53.910,spid24s,0.0,"[32762]. Feature Status: PVS: 0. CTR: 0. ConcurrentPFSUpdate: 1. ConcurrentGAMUpdate: 1. ConcurrentSGAMUpdate: 1, CleanupUnderUserTransaction: 0. TranLevelPVS: 0","[32762]. Feature Status: PVS: 0. CTR: 0. ConcurrentPFSUpdate: 1. ConcurrentGAMUpdate: 1. ConcurrentSGAMUpdate: 1, CleanupUnderUserTransaction: 0. TranLevelPVS: 0",INFO
2026-09-04 04:50:53.920,spid24s,0.0,Starting up database 'model_replicatedmaster'.,Starting up database 'model_replicatedmaster'.,STARTUP
2026-09-04 04:50:53.930,spid26s,0.0,"[32767]. Feature Status: PVS: 0. CTR: 0. ConcurrentPFSUpdate: 1. ConcurrentGAMUpdate: 1. ConcurrentSGAMUpdate: 1, CleanupUnderUserTransaction: 0. TranLevelPVS: 0","[32767]. Feature Status: PVS: 0. CTR: 0. ConcurrentPFSUpdate: 1. ConcurrentGAMUpdate: 1. ConcurrentSGAMUpdate: 1, CleanupUnderUserTransaction: 0. TranLevelPVS: 0",INFO
2026-09-04 04:50:53.930,spid26s,0.0,Starting up database 'mssqlsystemresource'.,Starting up database 'mssqlsystemresource'.,STARTUP
2026-09-04 04:50:53.950,spid26s,0.0,The resource database build version is 16.00.4265. This is an informational message only. No user action is required.,The resource database build version is 16.00.4265. This is an informational message only. No user action is required.,INFO
2026-09-04 04:50:53.980,Server,0.0,Common language runtime (CLR) functionality initialized.,Common language runtime (CLR) functionality initialized.,INFO
2026-09-04 04:50:54.000,spid26s,0.0,"[3]. Feature Status: PVS: 0. CTR: 0. ConcurrentPFSUpdate: 1. ConcurrentGAMUpdate: 1. ConcurrentSGAMUpdate: 1, CleanupUnderUserTransaction: 0. TranLevelPVS: 0","[3]. Feature Status: PVS: 0. CTR: 0. ConcurrentPFSUpdate: 1. ConcurrentGAMUpdate: 1. ConcurrentSGAMUpdate: 1, CleanupUnderUserTransaction: 0. TranLevelPVS: 0",INFO
2026-09-04 04:50:54.010,spid26s,0.0,Starting up database 'model'.,Starting up database 'model'.,STARTUP
2026-09-04 04:50:54.220,spid24s,0.0,Converting database 'model_replicatedmaster' from version 927 to the current version 957.,Converting database 'model_replicatedmaster' from version 927 to the current version 957.,INFO
2026-09-04 04:50:54.220,spid24s,0.0,Database 'model_replicatedmaster' running the upgrade step from version 927 to version 928.,Database 'model_replicatedmaster' running the upgrade step from version 927 to version 928.,INFO
2026-09-04 04:50:54.240,Server,0.0,External governance manager initialized,External governance manager initialized,INFO
2026-09-04 04:50:54.470,spid24s,0.0,Database 'model_replicatedmaster' running the upgrade step from version 928 to version 929.,Database 'model_replicatedmaster' running the upgrade step from version 928 to version 929.,INFO
2026-09-04 04:50:54.570,spid24s,0.0,Database 'model_replicatedmaster' running the upgrade step from version 929 to version 930.,Database 'model_replicatedmaster' running the upgrade step from version 929 to version 930.,INFO
2026-09-04 04:50:54.600,spid24s,0.0,Database 'model_replicatedmaster' running the upgrade step from version 930 to version 931.,Database 'model_replicatedmaster' running the upgrade step from version 930 to version 931.,INFO
2026-09-04 04:50:54.630,spid24s,0.0,Database 'model_replicatedmaster' running the upgrade step from version 931 to version 932.,Database 'model_replicatedmaster' running the upgrade step from version 931 to version 932.,INFO
2026-09-04 04:50:54.660,spid24s,0.0,Database 'model_replicatedmaster' running the upgrade step from version 932 to version 933.,Database 'model_replicatedmaster' running the upgrade step from version 932 to version 933.,INFO
2026-09-04 04:50:54.680,spid24s,0.0,Database 'model_replicatedmaster' running the upgrade step from version 933 to version 934.,Database 'model_replicatedmaster' running the upgrade step from version 933 to version 934.,INFO
2026-09-04 04:50:54.710,spid24s,0.0,Database 'model_replicatedmaster' running the upgrade step from version 934 to version 935.,Database 'model_replicatedmaster' running the upgrade step from version 934 to version 935.,INFO
2026-09-04 04:50:54.730,spid24s,0.0,Database 'model_replicatedmaster' running the upgrade step from version 935 to version 936.,Database 'model_replicatedmaster' running the upgrade step from version 935 to version 936.,INFO
2026-09-04 04:50:54.760,spid24s,0.0,Database 'model_replicatedmaster' running the upgrade step from version 936 to version 937.,Database 'model_replicatedmaster' running the upgrade step from version 936 to version 937.,INFO
2026-09-04 04:50:54.780,spid24s,0.0,Database 'model_replicatedmaster' running the upgrade step from version 937 to version 938.,Database 'model_replicatedmaster' running the upgrade step from version 937 to version 938.,INFO
2026-09-04 04:50:54.810,spid24s,0.0,Database 'model_replicatedmaster' running the upgrade step from version 938 to version 939.,Database 'model_replicatedmaster' running the upgrade step from version 938 to version 939.,INFO
2026-09-04 04:50:54.840,spid24s,0.0,Database 'model_replicatedmaster' running the upgrade step from version 939 to version 940.,Database 'model_replicatedmaster' running the upgrade step from version 939 to version 940.,INFO
2026-09-04 04:50:54.860,spid24s,0.0,Database 'model_replicatedmaster' running the upgrade step from version 940 to version 941.,Database 'model_replicatedmaster' running the upgrade step from version 940 to version 941.,INFO
