event_name,timestamp,session_id,login_name,program_name,database_name,_linea,resource_type,mode,process_type
login,2026-09-23 11:20:23.412,71,sa,Python,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-23 11:20:23.412"", ""session_id"": 71, ""login_name"": ""sa"", ""program_name"": ""Python"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
login,2026-09-23 11:20:23.412,72,sa,Python,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-23 11:20:23.412"", ""session_id"": 72, ""login_name"": ""sa"", ""program_name"": ""Python"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
login,2026-09-23 11:20:23.412,73,sa,SteelNortCargaNormal,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-23 11:20:23.412"", ""session_id"": 73, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaNormal"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
login,2026-09-23 11:20:23.412,74,sa,SteelNortCargaNormal,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-23 11:20:23.412"", ""session_id"": 74, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaNormal"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
login,2026-09-23 11:20:23.412,75,sa,SteelNortCargaNormal,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-23 11:20:23.412"", ""session_id"": 75, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaNormal"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
login,2026-09-23 11:20:23.412,76,sa,SteelNortCargaNormal,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-23 11:20:23.412"", ""session_id"": 76, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaNormal"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
login,2026-09-23 11:20:23.412,77,sa,SteelNortCargaNormal,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-23 11:20:23.412"", ""session_id"": 77, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaNormal"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
login,2026-09-23 11:20:23.412,78,sa,SteelNortCargaNormal,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-23 11:20:23.412"", ""session_id"": 78, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaNormal"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
login,2026-09-23 11:20:23.412,79,sa,SteelNortCargaNormal,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-23 11:20:23.412"", ""session_id"": 79, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaNormal"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
login,2026-09-23 11:20:23.412,80,sa,SteelNortCargaNormal,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-23 11:20:23.412"", ""session_id"": 80, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaNormal"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
