event_name,timestamp,session_id,login_name,program_name,database_name,_linea,resource_type,mode,process_type
login,2026-09-23 11:02:15.018,75,sa,Python,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-23 11:02:15.018"", ""session_id"": 75, ""login_name"": ""sa"", ""program_name"": ""Python"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
login,2026-09-23 11:02:15.018,76,sa,Python,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-23 11:02:15.018"", ""session_id"": 76, ""login_name"": ""sa"", ""program_name"": ""Python"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
login,2026-09-23 11:02:15.018,77,sa,SteelNortCargaNormal,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-23 11:02:15.018"", ""session_id"": 77, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaNormal"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
login,2026-09-23 11:02:15.018,78,sa,SteelNortCargaNormal,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-23 11:02:15.018"", ""session_id"": 78, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaNormal"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
login,2026-09-23 11:02:15.018,79,sa,SteelNortCargaNormal,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-23 11:02:15.018"", ""session_id"": 79, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaNormal"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
login,2026-09-23 11:02:15.018,80,sa,SteelNortCargaNormal,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-23 11:02:15.018"", ""session_id"": 80, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaNormal"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
login,2026-09-23 11:02:15.018,81,sa,SteelNortCargaNormal,SteelNort,"{""event_name"": ""login"", ""timestamp"": ""2026-09-23 11:02:15.018"", ""session_id"": 81, ""login_name"": ""sa"", ""program_name"": ""SteelNortCargaNormal"", ""database_name"": ""SteelNort""}",0,0,UNKNOWN
lock_acquired,2026-09-23 11:02:15.018,78,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-23 11:02:15.018"", ""session_id"": 78, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,UNKNOWN
lock_acquired,2026-09-23 11:02:15.018,81,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-23 11:02:15.018"", ""session_id"": 81, ""resource_type"": ""OBJECT"", ""mode"": ""IS""}",OBJECT,IS,UNKNOWN
lock_acquired,2026-09-23 11:02:15.018,76,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-23 11:02:15.018"", ""session_id"": 76, ""resource_type"": ""DATABASE"", ""mode"": ""S""}",DATABASE,S,UNKNOWN
lock_acquired,2026-09-23 11:02:15.018,77,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-23 11:02:15.018"", ""session_id"": 77, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,UNKNOWN
lock_acquired,2026-09-23 11:02:15.018,80,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-23 11:02:15.018"", ""session_id"": 80, ""resource_type"": ""KEY"", ""mode"": ""X""}",KEY,X,UNKNOWN
lock_acquired,2026-09-23 11:02:15.018,78,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-23 11:02:15.018"", ""session_id"": 78, ""resource_type"": ""DATABASE"", ""mode"": ""S""}",DATABASE,S,UNKNOWN
lock_acquired,2026-09-23 11:02:15.018,78,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-23 11:02:15.018"", ""session_id"": 78, ""resource_type"": ""OBJECT"", ""mode"": ""IS""}",OBJECT,IS,UNKNOWN
lock_acquired,2026-09-23 11:02:15.018,81,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-23 11:02:15.018"", ""session_id"": 81, ""resource_type"": ""DATABASE"", ""mode"": ""S""}",DATABASE,S,UNKNOWN
lock_acquired,2026-09-23 11:02:15.018,77,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-23 11:02:15.018"", ""session_id"": 77, ""resource_type"": ""OBJECT"", ""mode"": ""IS""}",OBJECT,IS,UNKNOWN
lock_acquired,2026-09-23 11:02:15.018,77,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-23 11:02:15.018"", ""session_id"": 77, ""resource_type"": ""DATABASE"", ""mode"": ""S""}",DATABASE,S,UNKNOWN
lock_acquired,2026-09-23 11:02:15.018,79,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-23 11:02:15.018"", ""session_id"": 79, ""resource_type"": ""OBJECT"", ""mode"": ""Sch-S""}",OBJECT,Sch-S,UNKNOWN
lock_acquired,2026-09-23 11:02:15.018,75,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-23 11:02:15.018"", ""session_id"": 75, ""resource_type"": ""DATABASE"", ""mode"": ""S""}",DATABASE,S,UNKNOWN
lock_acquired,2026-09-23 11:02:15.018,79,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-23 11:02:15.018"", ""session_id"": 79, ""resource_type"": ""DATABASE"", ""mode"": ""S""}",DATABASE,S,UNKNOWN
lock_acquired,2026-09-23 11:02:15.018,81,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-23 11:02:15.018"", ""session_id"": 81, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,UNKNOWN
lock_acquired,2026-09-23 11:02:15.018,80,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-23 11:02:15.018"", ""session_id"": 80, ""resource_type"": ""DATABASE"", ""mode"": ""S""}",DATABASE,S,UNKNOWN
lock_acquired,2026-09-23 11:02:20.045,79,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-23 11:02:20.045"", ""session_id"": 79, ""resource_type"": ""OBJECT"", ""mode"": ""IS""}",OBJECT,IS,UNKNOWN
lock_acquired,2026-09-23 11:02:20.045,80,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-23 11:02:20.045"", ""session_id"": 80, ""resource_type"": ""OBJECT"", ""mode"": ""IS""}",OBJECT,IS,UNKNOWN
lock_acquired,2026-09-23 11:02:20.045,79,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-23 11:02:20.045"", ""session_id"": 79, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,UNKNOWN
lock_acquired,2026-09-23 11:02:20.045,80,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-23 11:02:20.045"", ""session_id"": 80, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,UNKNOWN
lock_released,2026-09-23 11:02:20.045,80,0,0,0,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-23 11:02:20.045"", ""session_id"": 80, ""resource_type"": ""KEY"", ""mode"": ""X""}",KEY,X,UNKNOWN
lock_released,2026-09-23 11:02:20.045,79,0,0,0,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-23 11:02:20.045"", ""session_id"": 79, ""resource_type"": ""OBJECT"", ""mode"": ""Sch-S""}",OBJECT,Sch-S,UNKNOWN
lock_acquired,2026-09-23 11:02:25.093,79,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-23 11:02:25.093"", ""session_id"": 79, ""resource_type"": ""KEY"", ""mode"": ""X""}",KEY,X,UNKNOWN
lock_released,2026-09-23 11:02:25.093,79,0,0,0,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-23 11:02:25.093"", ""session_id"": 79, ""resource_type"": ""OBJECT"", ""mode"": ""IS""}",OBJECT,IS,UNKNOWN
lock_released,2026-09-23 11:02:25.093,81,0,0,0,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-23 11:02:25.093"", ""session_id"": 81, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,UNKNOWN
lock_released,2026-09-23 11:02:25.093,81,0,0,0,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-23 11:02:25.093"", ""session_id"": 81, ""resource_type"": ""OBJECT"", ""mode"": ""IS""}",OBJECT,IS,UNKNOWN
lock_released,2026-09-23 11:02:25.093,79,0,0,0,"{""event_name"": ""lock_released"", ""timestamp"": ""2026-09-23 11:02:25.093"", ""session_id"": 79, ""resource_type"": ""OBJECT"", ""mode"": ""IX""}",OBJECT,IX,UNKNOWN
lock_acquired,2026-09-23 11:02:30.123,79,0,0,0,"{""event_name"": ""lock_acquired"", ""timestamp"": ""2026-09-23 11:02:30.123"", ""session_id"": 79, ""resource_type"": ""PAGE"", ""mode"": ""S""}",PAGE,S,UNKNOWN
