columna,p90,p95,p99
cpu_usr,13.76,16.0,18.65999999999999
cpu_sys,48.3,50.4,52.55599999999999
cpu_wai,0.0,0.0,0.0
memory_available_mb,2444.6,2857.5,2934.34
page_life_expectancy,2139.0,2210.8,2270.3
disk_read_per_sec,1093520.5999999994,2164302.3000000003,11412911.256099936
disk_write_per_sec,3731823.4,5699403.5,7254984.407499998
total_reads,0.0,0.0,0.35599999999999454
total_writes,60.46,65.38000000000001,73.564
active_sessions,34.0,35.0,36.0
active_requests,27.0,28.0,29.0
transactions_per_sec,915.628,945.9200000000002,994.9616
duration_avg_ms,0.0,0.0,0.0
cpu_time_sum_ms,0.0,0.0,0.0
api_latency_ms,4084.6,4108.0,4629.0
api_status,0.0,0.0,0.0
load1,0.6259999999999999,0.7830000000000001,1.0555999999999994
