fase,contamination,n_estimators,max_samples,max_features,prep,n_feats,subset,promocionable,umbral,iso_tp,iso_fp,iso_tpr,iso_fpr,iso_precision,iso_f1,iso_accuracy,ens_tp,ens_fp,ens_tpr,ens_fpr,ens_precision,ens_f1,ens_accuracy
fase1,0.001,100,64,0.5,standard,17,17,directo,q10,108,107,1.0,0.4652,0.5023,0.6687,0.6834,108,75,1.0,0.3261,0.5902,0.7423,0.7781
fase1,0.001,100,64,0.5,standard,17,17,directo,q05,108,94,1.0,0.4087,0.5347,0.6968,0.7219,108,41,1.0,0.1783,0.7248,0.8405,0.8787
fase1,0.001,100,64,0.5,standard,17,17,directo,q01,108,17,1.0,0.0739,0.864,0.927,0.9497,108,3,1.0,0.013,0.973,0.9863,0.9911
fase1,0.001,100,64,0.7,standard,17,17,directo,q10,108,123,1.0,0.5348,0.4675,0.6372,0.6361,108,84,1.0,0.3652,0.5625,0.72,0.7515
fase1,0.001,100,64,0.7,standard,17,17,directo,q05,108,89,1.0,0.387,0.5482,0.7082,0.7367,108,44,1.0,0.1913,0.7105,0.8308,0.8698
fase1,0.001,100,64,0.7,standard,17,17,directo,q01,108,35,1.0,0.1522,0.7552,0.8606,0.8964,108,7,1.0,0.0304,0.9391,0.9686,0.9793
fase1,0.001,100,64,1.0,standard,17,17,directo,q10,108,134,1.0,0.5826,0.4463,0.6171,0.6036,108,85,1.0,0.3696,0.5596,0.7176,0.7485
fase1,0.001,100,64,1.0,standard,17,17,directo,q05,108,108,1.0,0.4696,0.5,0.6667,0.6805,108,48,1.0,0.2087,0.6923,0.8182,0.858
fase1,0.001,100,64,1.0,standard,17,17,directo,q01,108,25,1.0,0.1087,0.812,0.8963,0.926,108,3,1.0,0.013,0.973,0.9863,0.9911
fase1,0.001,100,128,0.5,standard,17,17,directo,q10,108,128,1.0,0.5565,0.4576,0.6279,0.6213,108,89,1.0,0.387,0.5482,0.7082,0.7367
fase1,0.001,100,128,0.5,standard,17,17,directo,q05,108,112,1.0,0.487,0.4909,0.6585,0.6686,108,57,1.0,0.2478,0.6545,0.7912,0.8314
fase1,0.001,100,128,0.5,standard,17,17,directo,q01,108,26,1.0,0.113,0.806,0.8926,0.9231,108,3,1.0,0.013,0.973,0.9863,0.9911
fase1,0.001,100,128,0.7,standard,17,17,directo,q10,108,136,1.0,0.5913,0.4426,0.6136,0.5976,108,91,1.0,0.3957,0.5427,0.7036,0.7308
