fase,prep,n_feats,subset,promocionable,contamination,n_estimators,max_samples,max_features,umbral,iso_tp,iso_fp,iso_tpr,iso_fpr,iso_precision,iso_f1,iso_accuracy,ens_tp,ens_fp,ens_tpr,ens_fpr,ens_precision,ens_f1,ens_accuracy
fase1,standard,17,17,directo,0.001,100,auto,0.7,q01,108,27,1.0,0.1174,0.8,0.8889,0.9201,108,2,1.0,0.0087,0.9818,0.9908,0.9941
fase1,standard,17,17,directo,0.001,100,128,0.7,q01,108,57,1.0,0.2478,0.6545,0.7912,0.8314,108,2,1.0,0.0087,0.9818,0.9908,0.9941
fase1,standard,17,17,directo,0.005,100,auto,0.7,q01,108,27,1.0,0.1174,0.8,0.8889,0.9201,108,2,1.0,0.0087,0.9818,0.9908,0.9941
fase1,standard,17,17,directo,0.005,100,128,0.7,q01,108,57,1.0,0.2478,0.6545,0.7912,0.8314,108,2,1.0,0.0087,0.9818,0.9908,0.9941
fase1,standard,17,17,directo,0.01,100,128,0.7,q01,108,57,1.0,0.2478,0.6545,0.7912,0.8314,108,2,1.0,0.0087,0.9818,0.9908,0.9941
fase1,standard,17,17,directo,0.01,100,auto,0.7,q01,108,27,1.0,0.1174,0.8,0.8889,0.9201,108,2,1.0,0.0087,0.9818,0.9908,0.9941
fase1,standard,17,17,directo,0.02,100,auto,0.7,q01,108,27,1.0,0.1174,0.8,0.8889,0.9201,108,2,1.0,0.0087,0.9818,0.9908,0.9941
fase1,standard,17,17,directo,0.02,100,128,0.7,q01,108,57,1.0,0.2478,0.6545,0.7912,0.8314,108,2,1.0,0.0087,0.9818,0.9908,0.9941
fase1,standard,17,17,directo,0.05,100,128,0.7,q01,108,57,1.0,0.2478,0.6545,0.7912,0.8314,108,2,1.0,0.0087,0.9818,0.9908,0.9941
fase1,standard,17,17,directo,0.05,100,auto,0.7,q01,108,27,1.0,0.1174,0.8,0.8889,0.9201,108,2,1.0,0.0087,0.9818,0.9908,0.9941
