fase,prep,n_feats,subset,promocionable,contamination,n_estimators,max_samples,max_features,umbral,iso_tp,iso_fp,iso_tpr,iso_fpr,iso_precision,iso_f1,iso_accuracy,ens_tp,ens_fp,ens_tpr,ens_fpr,ens_precision,ens_f1,ens_accuracy
fase1,standard,17,17,directo,0.005,300,64,0.5,q01,108,15,1.0,0.0652,0.878,0.9351,0.9556,108,3,1.0,0.013,0.973,0.9863,0.9911
fase1,standard,17,17,directo,0.001,300,64,0.5,q01,108,15,1.0,0.0652,0.878,0.9351,0.9556,108,3,1.0,0.013,0.973,0.9863,0.9911
fase2,robust,17,17,requiere-robust,0.01,300,64,0.5,q01,108,15,1.0,0.0652,0.878,0.9351,0.9556,108,3,1.0,0.013,0.973,0.9863,0.9911
fase2,robust,17,17,requiere-robust,0.02,300,64,0.5,q01,108,15,1.0,0.0652,0.878,0.9351,0.9556,108,3,1.0,0.013,0.973,0.9863,0.9911
fase2,robust,17,17,requiere-robust,0.005,300,64,0.5,q01,108,15,1.0,0.0652,0.878,0.9351,0.9556,108,3,1.0,0.013,0.973,0.9863,0.9911
fase2,robust,17,17,requiere-robust,0.05,300,64,0.5,q01,108,15,1.0,0.0652,0.878,0.9351,0.9556,108,3,1.0,0.013,0.973,0.9863,0.9911
fase1,standard,17,17,directo,0.02,300,64,0.5,q01,108,15,1.0,0.0652,0.878,0.9351,0.9556,108,3,1.0,0.013,0.973,0.9863,0.9911
fase1,standard,17,17,directo,0.01,300,64,0.5,q01,108,15,1.0,0.0652,0.878,0.9351,0.9556,108,3,1.0,0.013,0.973,0.9863,0.9911
fase1,standard,17,17,directo,0.05,300,64,0.5,q01,108,15,1.0,0.0652,0.878,0.9351,0.9556,108,3,1.0,0.013,0.973,0.9863,0.9911
fase1,standard,17,17,directo,0.02,100,64,0.5,q01,108,17,1.0,0.0739,0.864,0.927,0.9497,108,3,1.0,0.013,0.973,0.9863,0.9911
