columna,importancia
disk_write_per_sec,3.922195901395753e-14
page_life_expectancy,3.410605131648481e-14
cpu_wai,3.2969182939268646e-14
api_status,3.2969182939268646e-14
cpu_usr,3.240074875066057e-14
long_transactions,3.2400748750660566e-14
total_writes,3.012701199622825e-14
cpu_time_sum_ms,3.012701199622825e-14
transactions_per_sec,2.501110429875553e-14
active_requests,2.5011104298755524e-14
cpu_sys,2.1600499167107046e-14
long_queries,2.1032064978498965e-14
memory_available_mb,2.0463630789890888e-14
total_reads,2.0463630789890885e-14
active_sessions,1.9895196601282804e-14
api_latency_ms,1.9326762412674723e-14
duration_avg_ms,1.9326762412674723e-14
load1,1.9326762412674723e-14
disk_read_per_sec,1.3642420526593923e-14
