columna,importancia
active_sessions,23175739.202088665
api_status,22450174.046550486
cpu_time_sum_ms,22371892.58169582
disk_write_per_sec,21229366.830169633
cpu_wai,20629665.575035617
total_writes,20372647.455264635
long_transactions,19643387.683380667
transactions_per_sec,19633987.148472108
page_life_expectancy,19562491.857802913
cpu_usr,19125760.17900854
total_reads,141.92850604677574
memory_available_mb,95.38204651677981
disk_read_per_sec,85.16503386702388
cpu_sys,76.28319527508691
load1,71.94911353966222
long_queries,51.03091459410265
duration_avg_ms,41.65374444615095
active_requests,20.073963548392054
api_latency_ms,14.145077814310786
