columna,importancia
api_status,0.00017077488617731396
total_writes,0.00010640075885323563
cpu_time_sum_ms,0.00010210335445868247
disk_write_per_sec,8.852936000707911e-05
page_life_expectancy,7.196605662505685e-05
total_reads,6.995065639080033e-05
duration_avg_ms,6.746547041237781e-05
disk_read_per_sec,6.311135643338739e-05
active_requests,6.259158772190743e-05
cpu_wai,5.4829609884787814e-05
long_queries,5.028187286646224e-05
cpu_usr,4.186619788972612e-05
active_sessions,3.508978987957878e-05
memory_available_mb,2.5573783295085305e-05
transactions_per_sec,1.5942479045008005e-05
cpu_sys,8.847161441161155e-06
long_transactions,6.26469196916224e-06
load1,5.454384272021163e-06
api_latency_ms,3.2840581551707436e-06
