esquema,umbral,tp,fn,fp,tn,tpr,fpr,precision,f1,accuracy
ISOLATION_FOREST,q10,108,0,178,52,1.0,0.7739,0.3776,0.5482,0.4734
ISOLATION_FOREST,q05,108,0,138,92,1.0,0.6,0.439,0.6102,0.5917
ISOLATION_FOREST,q01,108,0,62,168,1.0,0.2696,0.6353,0.777,0.8166
COPOD,q10,86,22,9,221,0.7963,0.0391,0.9053,0.8473,0.9083
COPOD,q05,43,65,8,222,0.3981,0.0348,0.8431,0.5409,0.784
COPOD,q01,28,80,2,228,0.2593,0.0087,0.9333,0.4058,0.7574
ENSEMBLE_Z,q10,108,0,100,130,1.0,0.4348,0.5192,0.6835,0.7041
ENSEMBLE_Z,q05,108,0,88,142,1.0,0.3826,0.551,0.7105,0.7396
ENSEMBLE_Z,q01,108,0,4,226,1.0,0.0174,0.9643,0.9818,0.9882
AND_COPOD_ISOF,q10,86,22,9,221,0.7963,0.0391,0.9053,0.8473,0.9083
AND_COPOD_ISOF,q05,43,65,8,222,0.3981,0.0348,0.8431,0.5409,0.784
AND_COPOD_ISOF,q01,28,80,2,228,0.2593,0.0087,0.9333,0.4058,0.7574
OR_COPOD_ISOF,q10,108,0,178,52,1.0,0.7739,0.3776,0.5482,0.4734
OR_COPOD_ISOF,q05,108,0,138,92,1.0,0.6,0.439,0.6102,0.5917
OR_COPOD_ISOF,q01,108,0,62,168,1.0,0.2696,0.6353,0.777,0.8166
