idx,run,score,prediccion
0,normal_alta_01,-186.40961383861278,1
1,normal_alta_01,-167.96131790459634,1
2,normal_alta_01,-161.81852936090667,1
3,normal_alta_01,-163.77939716290143,1
4,normal_alta_01,-165.66909859944394,1
5,normal_alta_01,-158.4317043640914,1
6,normal_alta_01,-160.46380727710215,1
7,normal_alta_01,-160.49648481516692,1
8,normal_alta_01,-156.22530357194256,1
9,normal_alta_01,-155.32986647297173,1
10,normal_alta_01,-145.91936686759738,1
11,normal_alta_01,-140.01909011701952,1
12,normal_alta_01,-136.18504225347505,1
13,normal_alta_01,-132.91841850599656,1
14,normal_alta_01,-132.32030294224785,1
15,normal_alta_01,-136.65955203420037,1
16,normal_alta_01,-135.11037092031094,1
17,normal_alta_01,-132.0580653287908,1
18,normal_alta_01,-130.84401746016607,1
19,normal_alta_01,-128.265271412884,1
20,normal_alta_01,-128.5075666979879,1
21,normal_alta_01,-129.39865156554305,1
22,normal_alta_01,-129.57005564336575,1
23,normal_alta_01,-128.61074833832328,1
24,normal_alta_01,-124.44038633043826,1
25,normal_alta_01,-120.48772997458829,1
26,normal_alta_01,-116.61133001070539,1
27,normal_alta_01,-124.21141276624137,1
28,normal_alta_01,-128.37253363123722,1
29,normal_alta_01,-136.094790654422,1
30,normal_alta_01,-139.13060912558842,1
31,normal_alta_01,-138.54504107071824,1
32,normal_alta_01,-140.63236387500905,1
33,normal_alta_01,-143.0691794774786,1
34,normal_alta_01,-145.83497570194874,1
35,normal_alta_01,-151.3222854507099,1
36,normal_alta_01,-153.7898761209671,1
37,normal_alta_01,-149.50151419300053,1
38,normal_alta_01,-151.51005308547127,1
39,normal_alta_01,-149.4872130312712,1
40,normal_alta_01,-151.7462568280417,1
41,normal_alta_01,-156.02221922462402,1
42,normal_alta_01,-157.02981244194973,1
43,normal_alta_01,-159.588286353966,1
44,normal_alta_01,-158.8347891825809,1
45,normal_alta_01,-159.4447205465786,1
46,normal_alta_01,-157.92803300736244,1
47,normal_baja_02,-208.67348310876346,-1
48,normal_baja_02,-198.69334511573533,1
49,normal_baja_02,-189.34624051556455,1
50,normal_baja_02,-187.38257327975904,1
51,normal_baja_02,-191.01256248630014,1
52,normal_baja_02,-194.32882220345374,1
53,normal_baja_02,-196.00755452559702,1
54,normal_baja_02,-195.0982407443172,1
55,normal_baja_02,-198.15185918624073,1
56,normal_baja_02,-198.07939079253438,1
57,normal_baja_02,-194.08513319177112,1
58,normal_baja_02,-189.91816409296132,1
59,normal_baja_02,-185.4114211676677,1
60,normal_baja_02,-189.91923836881546,1
61,normal_baja_02,-187.54640544311076,1
62,normal_baja_02,-190.4889924582135,1
63,normal_baja_02,-185.71682194473675,1
64,normal_baja_02,-188.49625296173753,1
65,normal_baja_02,-186.5869768610679,1
66,normal_baja_02,-185.59161603095242,1
67,normal_baja_02,-181.55476386575265,1
68,normal_baja_02,-186.4016729195202,1
69,normal_baja_02,-193.2265191226034,1
70,normal_baja_02,-189.08637001812258,1
71,normal_baja_02,-188.76892524328497,1
72,normal_baja_02,-182.3853990961272,1
73,normal_baja_02,-181.78205195333726,1
74,normal_baja_02,-182.11840243995664,1
75,normal_baja_02,-180.26588322843503,1
76,normal_baja_02,-180.96558895247466,1
77,normal_baja_02,-181.2949723345311,1
78,normal_baja_02,-182.73253605353722,1
79,normal_baja_02,-180.71613495391574,1
80,normal_baja_02,-184.97347188942703,1
81,normal_baja_02,-186.7329081730229,1
82,normal_baja_02,-190.21181162627147,1
83,normal_baja_02,-193.59608676759535,1
84,normal_baja_02,-194.953325614042,1
85,normal_baja_02,-198.8853959647584,1
86,normal_baja_02,-202.45447299630678,1
87,normal_baja_02,-205.940775201572,-1
88,normal_baja_02,-205.66245187812456,-1
89,normal_baja_02,-204.87856411806936,-1
90,normal_baja_02,-204.7419488556439,1
91,normal_baja_02,-206.1252350310744,-1
92,normal_baja_02,-206.2920309880546,-1
93,normal_baja_02,-206.14448929564986,-1
94,normal_baja_02,-206.77589603180323,-1
95,normal_baja_02,-203.3039111565081,1
96,normal_baja_02,-202.58257888786085,1
97,normal_baja_02,-210.51280418686733,-1
98,normal_larga_01,-151.88068391296974,1
99,normal_larga_01,-137.5781640848611,1
100,normal_larga_01,-121.87538521081765,1
101,normal_larga_01,-120.00761278567258,1
102,normal_larga_01,-121.3467911580384,1
103,normal_larga_01,-122.69961051715963,1
104,normal_larga_01,-127.08051950146805,1
105,normal_larga_01,-127.92505641509399,1
106,normal_larga_01,-126.44736110620201,1
107,normal_larga_01,-122.48991406218596,1
108,normal_larga_01,-119.66313490684058,1
109,normal_larga_01,-115.61654544205564,1
110,normal_larga_01,-113.70969447233975,1
111,normal_larga_01,-113.64349324254965,1
112,normal_larga_01,-109.41358079691626,1
113,normal_larga_01,-109.80814718163575,1
114,normal_larga_01,-109.63805362920053,1
115,normal_larga_01,-110.6539713757914,1
116,normal_larga_01,-111.12139751659393,1
117,normal_larga_01,-112.04211406308303,1
118,normal_larga_01,-114.74565968416836,1
119,normal_larga_01,-119.85216285524865,1
120,normal_larga_01,-123.81240758723985,1
121,normal_larga_01,-125.82886131351418,1
122,normal_larga_01,-128.48264985937257,1
123,normal_larga_01,-130.79719793661792,1
124,normal_larga_01,-128.24943202088167,1
125,normal_larga_01,-130.51549487778345,1
126,normal_larga_01,-130.65563679309548,1
127,normal_larga_01,-133.06380167339893,1
128,normal_larga_01,-135.94273672605235,1
129,normal_larga_01,-144.704284091798,1
130,normal_larga_01,-150.8953253225798,1
131,normal_larga_01,-151.95133536858748,1
132,normal_larga_01,-153.24772828878702,1
133,normal_larga_01,-155.57771244320298,1
134,normal_larga_01,-159.4826203405997,1
135,normal_larga_01,-161.00643535318355,1
136,normal_larga_01,-160.3840016205171,1
137,normal_larga_01,-154.35918676711594,1
138,normal_larga_01,-149.96522310724927,1
139,normal_larga_01,-139.52964233588685,1
140,normal_larga_01,-132.94124430316754,1
141,normal_larga_01,-133.3121352900157,1
142,normal_larga_01,-132.04519294821853,1
143,normal_larga_01,-127.50342554158023,1
144,normal_larga_01,-122.30504101844106,1
145,normal_larga_01,-120.69582410277178,1
146,normal_larga_01,-119.87431776118578,1
147,normal_larga_01,-123.37326118719508,1
148,normal_larga_01,-123.21427104441722,1
149,normal_larga_01,-123.92564121490358,1
150,normal_larga_01,-123.86680123894038,1
151,normal_larga_01,-124.43218003316942,1
152,normal_larga_01,-125.4404648832134,1
153,normal_larga_01,-127.44923266329556,1
154,normal_larga_01,-128.70452804791643,1
155,normal_larga_01,-128.7056901191717,1
156,normal_larga_01,-132.1291902263385,1
157,normal_larga_01,-135.05957894308307,1
158,normal_larga_01,-136.55548153958466,1
159,normal_larga_01,-137.48777938720912,1
160,normal_larga_01,-139.28586565550097,1
161,normal_larga_01,-137.90906206755028,1
162,normal_larga_01,-140.68949172515738,1
163,normal_larga_01,-137.5132687533398,1
164,normal_larga_01,-138.593951671076,1
165,normal_larga_01,-140.11183600940444,1
166,normal_larga_01,-142.0510614442794,1
167,normal_larga_01,-140.61117161369646,1
168,normal_larga_01,-145.15462468862444,1
169,normal_larga_01,-152.177583880599,1
170,normal_larga_01,-176.26636219714015,1
171,normal_media_02,-206.15053087428316,-1
172,normal_media_02,-192.69908901980455,1
173,normal_media_02,-179.88089533284682,1
174,normal_media_02,-183.5088452997869,1
175,normal_media_02,-190.63589284121468,1
176,normal_media_02,-192.31113672938181,1
177,normal_media_02,-194.2190863210213,1
178,normal_media_02,-192.10909923532296,1
179,normal_media_02,-187.62269578680906,1
180,normal_media_02,-180.4368505793053,1
181,normal_media_02,-179.88902030166167,1
182,normal_media_02,-178.93096510192956,1
183,normal_media_02,-176.4855572611959,1
184,normal_media_02,-175.44033318849364,1
185,normal_media_02,-171.8272141572573,1
186,normal_media_02,-170.3604667832588,1
187,normal_media_02,-172.52049099269695,1
188,normal_media_02,-171.4318057410926,1
189,normal_media_02,-169.2493742368265,1
190,normal_media_02,-160.19917925466882,1
191,normal_media_02,-153.63880100860024,1
192,normal_media_02,-150.2419244379893,1
193,normal_media_02,-146.71287622062738,1
194,normal_media_02,-140.78030904987463,1
195,normal_media_02,-133.68011171572732,1
196,normal_media_02,-129.55176293057093,1
197,normal_media_02,-123.30741320982418,1
198,normal_media_02,-120.6017294486548,1
199,normal_media_02,-119.6841212731583,1
200,normal_media_02,-122.27241698343795,1
201,normal_media_02,-122.79519911339044,1
202,normal_media_02,-124.24197816853761,1
203,normal_media_02,-126.68149684753578,1
204,normal_media_02,-124.30702446076502,1
205,normal_media_02,-124.87179443256895,1
206,normal_media_02,-125.93306981602953,1
207,normal_media_02,-127.44640002530977,1
208,normal_media_02,-128.32900013998585,1
209,normal_media_02,-128.51016374310836,1
210,normal_media_02,-134.20193312784488,1
211,normal_media_02,-138.70948479142695,1
212,normal_media_02,-140.12528550564303,1
213,normal_media_02,-140.41755442196077,1
214,normal_media_02,-144.03333560562348,1
215,normal_media_02,-152.67506474703356,1
216,normal_media_02,-155.1014495153671,1
217,normal_media_02,-153.3950893728466,1
218,normal_media_02,-153.51797035605108,1
219,normal_media_02,-156.10088909805086,1
220,normal_prueba_01,-238.15758327369375,-1
221,normal_prueba_01,-214.95188191101363,-1
222,normal_prueba_01,-187.2910186532883,1
223,normal_prueba_01,-179.90658212641515,1
224,normal_prueba_01,-169.0668783246806,1
225,normal_prueba_01,-167.7969167533148,1
226,normal_prueba_01,-162.35128164539628,1
227,normal_prueba_01,-158.622454858424,1
228,normal_prueba_01,-156.9574804183718,1
229,normal_prueba_01,-165.1953080867059,1
