,,tpr,tpr,fpr,fpr,f1,f1
,,mean,std,mean,std,mean,std
esquema,umbral,,,,,,
COPOD,q01,0.7962962962962963,0.0,0.0,0.0,0.88659793814433,0.0
COPOD,q05,0.8240740740740741,0.0,0.0,0.0,0.9035532994923858,0.0
COPOD,q10,0.8981481481481481,0.0,0.0,0.0,0.9463414634146341,0.0
ENSEMBLE_Z,q01,1.0,0.0,0.028915662650602407,0.031124668452632537,0.9891397183957112,0.011456170378706592
ENSEMBLE_Z,q05,1.0,0.0,0.1674698795180723,0.05796591820419001,0.9399244169355263,0.01939673791808948
ENSEMBLE_Z,q10,1.0,0.0,0.23253012048192773,0.09819948158559468,0.9189906935359888,0.030821770459355288
ISOLATION_FOREST,q01,0.999537037037037,0.0020704333124998133,0.19759036144578312,0.11412527196925945,0.9306316421621148,0.03687281308231274
ISOLATION_FOREST,q05,1.0,0.0,0.6397590361445784,0.1588255941807799,0.8045543783647988,0.04041669076075832
ISOLATION_FOREST,q10,1.0,0.0,0.7939759036144578,0.12397596832009493,0.7672462526876753,0.0293745992220377
