esquema,umbral,seed,tp,fn,fp,tn,tpr,fpr,precision,f1,accuracy
ISOLATION_FOREST,q10,42,108,0,69,14,1.0,0.8313253012048193,0.6101694915254238,0.7578947368421053,0.6387434554973822
ISOLATION_FOREST,q05,42,108,0,61,22,1.0,0.7349397590361446,0.6390532544378699,0.779783393501805,0.680628272251309
ISOLATION_FOREST,q01,42,108,0,25,58,1.0,0.30120481927710846,0.8120300751879699,0.896265560165975,0.8691099476439791
COPOD,q10,42,97,11,0,83,0.8981481481481481,0.0,1.0,0.9463414634146341,0.9424083769633508
COPOD,q05,42,89,19,0,83,0.8240740740740741,0.0,1.0,0.9035532994923858,0.900523560209424
COPOD,q01,42,86,22,0,83,0.7962962962962963,0.0,1.0,0.8865979381443299,0.8848167539267016
LOF,q10,42,108,0,17,66,1.0,0.20481927710843373,0.864,0.9270386266094421,0.9109947643979057
LOF,q05,42,108,0,7,76,1.0,0.08433734939759036,0.9391304347826087,0.968609865470852,0.9633507853403142
LOF,q01,42,108,0,2,81,1.0,0.024096385542168676,0.9818181818181818,0.9908256880733944,0.9895287958115183
OCSVM,q10,42,108,0,53,30,1.0,0.6385542168674698,0.6708074534161491,0.8029739776951673,0.7225130890052356
OCSVM,q05,42,108,0,19,64,1.0,0.2289156626506024,0.8503937007874016,0.9191489361702128,0.900523560209424
OCSVM,q01,42,108,0,3,80,1.0,0.03614457831325301,0.972972972972973,0.9863013698630138,0.9842931937172775
ELLIPTIC,q10,42,108,0,83,0,1.0,1.0,0.5654450261780105,0.7224080267558529,0.5654450261780105
ELLIPTIC,q05,42,108,0,83,0,1.0,1.0,0.5654450261780105,0.7224080267558529,0.5654450261780105
ELLIPTIC,q01,42,108,0,83,0,1.0,1.0,0.5654450261780105,0.7224080267558529,0.5654450261780105
ENSEMBLE_Z,q10,42,108,0,25,58,1.0,0.30120481927710846,0.8120300751879699,0.896265560165975,0.8691099476439791
ENSEMBLE_Z,q05,42,108,0,17,66,1.0,0.20481927710843373,0.864,0.9270386266094421,0.9109947643979057
ENSEMBLE_Z,q01,42,108,0,4,79,1.0,0.04819277108433735,0.9642857142857143,0.9818181818181818,0.9790575916230366
