esquema,umbral,seed,tp,fn,fp,tn,tpr,fpr,precision,f1,accuracy,subset_vars
ISOLATION_FOREST,q10,42,108,0,50,33,1.0,0.6024096385542169,0.6835443037974683,0.8120300751879699,0.7382198952879581,15
ISOLATION_FOREST,q05,42,108,0,37,46,1.0,0.4457831325301205,0.7448275862068966,0.8537549407114624,0.806282722513089,15
ISOLATION_FOREST,q01,42,108,0,2,81,1.0,0.024096385542168676,0.9818181818181818,0.9908256880733944,0.9895287958115183,15
COPOD,q10,42,97,11,0,83,0.8981481481481481,0.0,1.0,0.9463414634146341,0.9424083769633508,15
COPOD,q05,42,81,27,0,83,0.75,0.0,1.0,0.8571428571428571,0.8586387434554974,15
COPOD,q01,42,70,38,0,83,0.6481481481481481,0.0,1.0,0.7865168539325843,0.8010471204188482,15
ENSEMBLE_Z,q10,42,108,0,11,72,1.0,0.13253012048192772,0.907563025210084,0.9515418502202644,0.9424083769633508,15
ENSEMBLE_Z,q05,42,108,0,6,77,1.0,0.07228915662650602,0.9473684210526315,0.972972972972973,0.9685863874345549,15
ENSEMBLE_Z,q01,42,108,0,1,82,1.0,0.012048192771084338,0.9908256880733946,0.9953917050691244,0.9947643979057592,15
ISOLATION_FOREST,q10,42,108,0,69,14,1.0,0.8313253012048193,0.6101694915254238,0.7578947368421053,0.6387434554973822,17
ISOLATION_FOREST,q05,42,108,0,61,22,1.0,0.7349397590361446,0.6390532544378699,0.779783393501805,0.680628272251309,17
ISOLATION_FOREST,q01,42,108,0,25,58,1.0,0.30120481927710846,0.8120300751879699,0.896265560165975,0.8691099476439791,17
COPOD,q10,42,97,11,0,83,0.8981481481481481,0.0,1.0,0.9463414634146341,0.9424083769633508,17
COPOD,q05,42,89,19,0,83,0.8240740740740741,0.0,1.0,0.9035532994923858,0.900523560209424,17
COPOD,q01,42,86,22,0,83,0.7962962962962963,0.0,1.0,0.8865979381443299,0.8848167539267016,17
ENSEMBLE_Z,q10,42,108,0,25,58,1.0,0.30120481927710846,0.8120300751879699,0.896265560165975,0.8691099476439791,17
ENSEMBLE_Z,q05,42,108,0,17,66,1.0,0.20481927710843373,0.864,0.9270386266094421,0.9109947643979057,17
ENSEMBLE_Z,q01,42,108,0,4,79,1.0,0.04819277108433735,0.9642857142857143,0.9818181818181818,0.9790575916230366,17
ISOLATION_FOREST,q10,42,108,0,60,23,1.0,0.7228915662650602,0.6428571428571429,0.782608695652174,0.6858638743455497,19
ISOLATION_FOREST,q05,42,108,0,46,37,1.0,0.5542168674698795,0.7012987012987013,0.8244274809160306,0.7591623036649214,19
ISOLATION_FOREST,q01,42,107,1,4,79,0.9907407407407407,0.04819277108433735,0.963963963963964,0.9771689497716894,0.9738219895287958,19
COPOD,q10,42,91,17,0,83,0.8425925925925926,0.0,1.0,0.914572864321608,0.9109947643979057,19
COPOD,q05,42,56,52,0,83,0.5185185185185185,0.0,1.0,0.6829268292682926,0.7277486910994765,19
COPOD,q01,42,49,59,0,83,0.4537037037037037,0.0,1.0,0.6242038216560509,0.6910994764397905,19
ENSEMBLE_Z,q10,42,108,0,6,77,1.0,0.07228915662650602,0.9473684210526315,0.972972972972973,0.9685863874345549,19
ENSEMBLE_Z,q05,42,108,0,1,82,1.0,0.012048192771084338,0.9908256880733946,0.9953917050691244,0.9947643979057592,19
ENSEMBLE_Z,q01,42,106,2,1,82,0.9814814814814815,0.012048192771084338,0.9906542056074766,0.986046511627907,0.9842931937172775,19
